Date,Opp,Name,ERA,FIP
May 6,TOR,Kevin Gausman,2.27,0.52
May 6,SFG,Carlos Rodon,1.55,1.42
May 6,SDP,Joe Musgrove,1.97,2.14
May 6,NYY,Michael King,0.51,0.79
May 6,LAA,Shohei Ohtani,3.08,1.56
May 6,ATL,Kyle Wright,1.74,2.11
May 6,CHW,Dylan Cease,2.48,2.01
May 6,NYM,Tylor Megill,2.43,2.45
May 6,MIA,Pablo Lopez,1.29,2.08
May 6,ARI,Merrill Kelly,1.27,2.12
May 6,ATL,Max Fried,3.00,2.48
May 6,DET,Tarik Skubal,3.71,2.25
May 6,LAD,Clayton Kershaw,2.35,2.03
May 6,STL,Miles Mikolas,1.53,3.03
May 6,STL,Steven Matz,4.56,2.14
May 6,OAK,Paul Blackburn,2.22,2.13
May 6,ARI,Zac Gallen,1.27,2.32
May 6,NYM,Carlos Carrasco,3.30,2.91
May 6,MIN,Chris Paddack,3.15,1.96
May 6,MIL,Corbin Burnes,1.93,2.90
May 6,OAK,Frankie Montas,3.44,3.33
May 6,BOS,Garrett Whitlock,1.25,2.19
May 6,SFG,Logan Webb,3.26,2.82
May 6,PHI,Zach Eflin,4.50,2.90
May 6,LAA,Patrick Sandoval,1.29,2.30
May 6,TEX,Martin Perez,2.25,2.86
May 6,CHW,Michael Kopech,1.17,2.68
May 6,HOU,Justin Verlander,1.93,3.27
May 6,CIN,Tyler Mahle,7.01,3.23
May 6,NYM,Max Scherzer,2.61,3.05
May 6,MIL,Freddy Peralta,5.09,2.50
May 6,LAD,Walker Buehler,2.12,3.15
May 6,MIN,Joe Ryan,1.63,3.11
May 6,MIL,Eric Lauer,1.93,2.51
May 6,NYY,Nestor Cortes,1.82,2.50
May 6,MIL,Brandon Woodruff,5.18,2.87
May 6,NYM,Chris Bassitt,2.61,3.24
May 6,MIL,Adrian Houser,3.42,3.19
May 6,CLE,Triston McKenzie,2.70,2.90
May 6,TOR,Alek Manoah,1.45,3.18
May 6,BAL,Bruce Zimmermann,2.59,2.82
May 6,PHI,Zack Wheeler,4.10,3.07
May 6,CLE,Shane Bieber,2.45,3.08
May 6,WSN,Patrick Corbin,7.16,3.33
May 6,SEA,Logan Gilbert,0.64,3.08
May 6,TBR,Corey Kluber,2.36,3.00
May 6,TBR,Shane McClanahan,3.06,3.14
