Date,Opp,Name,ERA,FIP
Sep 15,SFG,Carlos Rodon,2.84,2.27
Sep 15,PHI,Aaron Nola,3.31,2.63
Sep 15,TOR,Kevin Gausman,3.31,2.28
Sep 15,HOU,Justin Verlander,1.84,2.70
Sep 15,MIA,Sandy Alcantara,2.43,3.10
Sep 15,ATL,Spencer Strider,2.72,1.75
Sep 15,ATL,Max Fried,2.50,2.62
Sep 15,LAA,Shohei Ohtani,2.55,2.50
Sep 15,CHW,Dylan Cease,2.16,2.90
Sep 15,CLE,Shane Bieber,2.91,2.82
Sep 15,NYM,Max Scherzer,2.26,2.53
Sep 15,ARI,Zac Gallen,2.50,2.94
Sep 15,HOU,Framber Valdez,2.55,3.08
Sep 15,TBR,Shane McClanahan,2.20,2.64
Sep 15,MIL,Corbin Burnes,2.97,3.27
Sep 15,SFG,Logan Webb,2.88,3.12
Sep 15,SDP,Yu Darvish,3.16,3.38
Sep 15,PHI,Zack Wheeler,3.07,2.97
Sep 15,- - -,Luis Castillo,2.68,2.99
Sep 15,TEX,Martin Perez,2.77,3.21
Sep 15,TOR,Alek Manoah,2.43,3.43
Sep 15,ARI,Merrill Kelly,3.01,3.41
Sep 15,LAD,Tyler Anderson,2.62,3.41
Sep 15,NYY,Gerrit Cole,3.30,3.30
Sep 15,LAA,Patrick Sandoval,2.99,3.19
Sep 15,- - -,Jose Quintana,3.34,3.15
Sep 15,LAD,Clayton Kershaw,2.44,2.66
Sep 15,STL,Adam Wainwright,3.29,3.49
Sep 15,SFG,Alex Cobb,3.48,2.89
Sep 15,NYY,Nestor Cortes,2.70,3.30
Sep 15,DET,Tarik Skubal,3.52,2.96
Sep 15,SEA,Logan Gilbert,3.19,3.47
Sep 15,- - -,Jordan Montgomery,3.20,3.47
Sep 15,MIL,Brandon Woodruff,3.39,3.22
Sep 15,LAD,Julio Urias,2.30,3.73
Sep 15,SDP,Blake Snell,4.02,2.92
Sep 15,SDP,Joe Musgrove,3.28,3.74
Sep 15,TOR,Ross Stripling,2.94,3.15
Sep 15,NYM,Chris Bassitt,3.44,3.55
Sep 15,SEA,George Kirby,2.98,2.96
Sep 15,TBR,Drew Rasmussen,2.77,3.18
Sep 15,HOU,Cristian Javier,2.87,3.35
Sep 15,CHC,Justin Steele,3.18,3.20
Sep 15,TBR,Corey Kluber,4.36,3.61
Sep 15,NYM,Edwin Diaz,1.47,1.04
Sep 15,LAD,Tony Gonsolin,2.10,3.33
Sep 15,STL,Miles Mikolas,3.42,3.85
Sep 15,CLE,Triston McKenzie,3.05,3.87
Sep 15,MIN,Sonny Gray,2.83,3.29
Sep 15,TBR,Jeffrey Springs,2.41,3.07
Sep 15,ATL,Kyle Wright,3.18,3.67
Sep 15,KCR,Brady Singer,3.21,3.60
Sep 15,PHI,Ranger Suarez,3.62,3.64
Sep 15,COL,Kyle Freeland,4.43,4.31
Sep 15,NYM,Jacob deGrom,2.01,1.45
Sep 15,MIA,Pablo Lopez,4.04,3.76
Sep 15,- - -,Frankie Montas,3.89,3.65
Sep 15,NYM,Carlos Carrasco,3.80,3.53
Sep 15,- - -,Tyler Mahle,4.40,3.87
Sep 15,- - -,Noah Syndergaard,4.09,3.76
Sep 15,CLE,Emmanuel Clase,1.31,1.94
Sep 15,NYM,Taijuan Walker,3.48,3.72
Sep 15,TEX,Jon Gray,3.79,3.37
Sep 15,SEA,Robbie Ray,3.56,3.95
Sep 15,CHW,Johnny Cueto,3.09,3.95
Sep 15,CIN,Nick Lodolo,3.81,3.56
Sep 15,PIT,JT Brubaker,4.36,3.89
Sep 15,BAL,Dean Kremer,3.34,3.36
Sep 15,PIT,Mitch Keller,4.01,3.86
Sep 15,ATL,A.J. Minter,2.10,1.96
Sep 15,STL,Ryan Helsley,1.23,2.22
