Date,Opp,Name,ERA,FIP
Oct 6,PHI,Aaron Nola,3.25,2.58
Oct 6,SFG,Carlos Rodon,2.88,2.25
Oct 6,HOU,Justin Verlander,1.75,2.49
Oct 6,MIA,Sandy Alcantara,2.28,2.99
Oct 6,TOR,Kevin Gausman,3.35,2.38
Oct 6,LAA,Shohei Ohtani,2.33,2.4
Oct 6,ATL,Max Fried,2.48,2.7
Oct 6,ATL,Spencer Strider,2.67,1.83
Oct 6,CLE,Shane Bieber,2.88,2.87
Oct 6,MIL,Corbin Burnes,2.94,3.14
Oct 6,HOU,Framber Valdez,2.82,3.06
Oct 6,CHW,Dylan Cease,2.2,3.1
Oct 6,NYM,Max Scherzer,2.29,2.62
Oct 6,ARI,Zac Gallen,2.54,3.05
Oct 6,SDP,Yu Darvish,3.1,3.31
Oct 6,SFG,Logan Webb,2.9,3.03
Oct 6,PHI,Zack Wheeler,2.82,2.89
Oct 6,TOR,Alek Manoah,2.24,3.35
Oct 6,LAD,Tyler Anderson,2.57,3.31
Oct 6,- - -,Jose Quintana,2.93,2.99
Oct 6,TEX,Martin Perez,2.89,3.27
Oct 6,LAD,Clayton Kershaw,2.28,2.57
Oct 6,LAA,Patrick Sandoval,2.91,3.09
Oct 6,- - -,Luis Castillo,2.99,3.07
Oct 6,SFG,Alex Cobb,3.73,2.8
Oct 6,SDP,Blake Snell,3.38,2.8
Oct 6,NYY,Nestor Cortes,2.44,3.13
Oct 6,CLE,Triston McKenzie,2.96,3.59
Oct 6,TBR,Shane McClanahan,2.54,3.0
Oct 6,MIL,Brandon Woodruff,3.05,3.08
Oct 6,SDP,Joe Musgrove,2.93,3.59
Oct 6,HOU,Cristian Javier,2.54,3.16
Oct 6,ARI,Merrill Kelly,3.37,3.65
Oct 6,NYY,Gerrit Cole,3.5,3.47
Oct 6,LAD,Julio Urias,2.16,3.71
Oct 6,SEA,Logan Gilbert,3.2,3.46
Oct 6,TOR,Ross Stripling,3.01,3.11
Oct 6,TBR,Corey Kluber,4.34,3.57
Oct 6,SEA,George Kirby,3.39,2.99
Oct 6,TBR,Jeffrey Springs,2.46,3.04
Oct 6,NYM,Edwin Diaz,1.31,0.9
Oct 6,TBR,Drew Rasmussen,2.84,3.26
Oct 6,ATL,Kyle Wright,3.19,3.58
Oct 6,DET,Tarik Skubal,3.52,2.96
Oct 6,KCR,Brady Singer,3.23,3.58
Oct 6,MIA,Pablo Lopez,3.75,3.71
Oct 6,STL,Adam Wainwright,3.71,3.66
Oct 6,STL,Miles Mikolas,3.29,3.87
Oct 6,- - -,Jordan Montgomery,3.48,3.61
Oct 6,NYM,Chris Bassitt,3.42,3.66
Oct 6,LAD,Tony Gonsolin,2.14,3.28
Oct 6,CHC,Justin Steele,3.18,3.2
Oct 6,COL,Kyle Freeland,4.53,4.21
Oct 6,NYM,Taijuan Walker,3.49,3.65
Oct 6,CHW,Johnny Cueto,3.35,3.79
Oct 6,CLE,Emmanuel Clase,1.36,1.98
Oct 6,NYM,Carlos Carrasco,3.97,3.53
Oct 6,MIN,Sonny Gray,3.08,3.4
Oct 6,PHI,Ranger Suarez,3.65,3.87
Oct 6,LAA,Reid Detmers,3.77,3.79
Oct 6,NYY,Jameson Taillon,3.91,3.94
Oct 6,- - -,Noah Syndergaard,3.94,3.83
Oct 6,MIL,Devin Williams,1.93,2.01
Oct 6,NYM,Jacob deGrom,3.08,2.13
Oct 6,CLE,Cal Quantrill,3.38,4.12
Oct 6,MIA,Jesus Luzardo,3.32,3.12
Oct 6,LAD,Evan Phillips,1.14,1.94
Oct 6,PIT,Mitch Keller,3.91,3.88
Oct 6,- - -,Tyler Mahle,4.4,3.87
Oct 6,MIN,Joe Ryan,3.55,3.99
Oct 6,HOU,Luis Garcia,3.72,3.93
Oct 6,ATL,A.J. Minter,2.06,2.13
Oct 6,CHW,Reynaldo Lopez,2.76,1.93
Oct 6,CHC,Marcus Stroman,3.5,3.76
Oct 6,- - -,Frankie Montas,4.05,3.78
Oct 6,STL,Ryan Helsley,1.25,2.34
Oct 6,MIL,Freddy Peralta,3.58,3.06
Oct 6,PIT,JT Brubaker,4.69,3.92
Oct 6,SEA,Andres Munoz,2.49,2.04
Oct 6,CHW,Lance Lynn,3.99,3.82
Oct 6,KCR,Zack Greinke,3.68,4.03
Oct 6,CIN,Nick Lodolo,3.66,3.9
Oct 6,COL,Daniel Bard,1.79,2.86
Oct 6,PHI,Kyle Gibson,5.05,4.28
Oct 6,TEX,Jon Gray,3.96,3.8
Oct 6,CHW,Lucas Giolito,4.9,4.06
Oct 6,BAL,Dean Kremer,3.23,3.8
Oct 6,BOS,Rich Hill,4.27,3.92
Oct 6,SEA,Robbie Ray,3.71,4.17
Oct 6,SEA,Erik Swanson,1.68,1.85
Oct 6,BOS,John Schreiber,2.22,2.5
Oct 6,CLE,Trevor Stephan,2.69,2.19
Oct 6,SFG,Alex Wood,5.1,3.76
Oct 6,NYY,Michael King,2.29,2.23
Oct 6,PHI,Jose Alvarado,3.18,1.92
Oct 6,HOU,Hector Neris,3.72,2.35
Oct 6,LAA,Jose Suarez,3.96,3.91
Oct 6,TOR,Jordan Romano,2.11,2.82
Oct 6,MIN,Caleb Thielbar,3.49,2.42
Oct 6,- - -,Chris Martin,3.05,2.18
Oct 6,LAA,Jimmy Herget,2.48,2.82
Oct 6,CHW,Liam Hendriks,2.81,2.68
Oct 6,SDP,Luis Garcia,3.39,2.6
Oct 6,CIN,Hunter Greene,4.44,4.37
Oct 6,- - -,Raisel Iglesias,2.47,2.47
Oct 6,HOU,Rafael Montero,2.37,2.64
Oct 6,BOS,Michael Wacha,3.32,4.14
Oct 6,MIN,Jhoan Duran,1.86,2.52
Oct 6,LAD,Alex Vesia,2.15,2.12
Oct 6,ATL,Charlie Morton,4.34,4.26
Oct 6,BOS,Nick Pivetta,4.56,4.42
Oct 6,PIT,David Bednar,2.61,2.44
Oct 6,MIA,Braxton Garrett,3.58,3.56
Oct 6,CHC,Adrian Sampson,3.11,3.79
Oct 6,NYM,David Peterson,3.83,3.64
Oct 6,BAL,Jordan Lyles,4.42,4.4
Oct 6,COL,Antonio Senzatela,5.07,4.05
Oct 6,DET,Joe Jimenez,3.49,2.0
Oct 6,OAK,Cole Irvin,3.98,4.21
Oct 6,MIN,Bailey Ober,3.21,2.92
Oct 6,COL,German Marquez,4.95,4.71
Oct 6,ATL,Collin McHugh,2.6,2.71
Oct 6,BOS,Garrett Whitlock,3.45,3.29
Oct 6,HOU,Bryan Abreu,1.94,2.12
Oct 6,NYY,Luis Severino,3.18,3.7
Oct 6,HOU,Ryan Pressly,2.98,2.31
Oct 6,PHI,Zach Eflin,4.04,3.56
Oct 6,BAL,Felix Bautista,2.19,2.91
Oct 6,BAL,Bryan Baker,3.49,2.74
Oct 6,- - -,Scott Effross,2.54,2.46
Oct 6,TEX,Matt Moore,1.95,2.98
Oct 6,STL,Giovanny Gallegos,3.05,2.88
Oct 6,CIN,Graham Ashcraft,4.89,4.21
Oct 6,CLE,Aaron Civale,4.92,3.87
Oct 6,SFG,Jakob Junis,4.42,3.65
Oct 6,- - -,Anthony Bass,1.54,3.0
Oct 6,- - -,Mitch White,5.45,3.87
Oct 6,CHC,Drew Smyly,3.47,4.23
Oct 6,- - -,Jake Odorizzi,4.4,4.28
Oct 6,TBR,Jason Adam,1.56,2.86
Oct 6,BOS,Brayan Bello,4.71,2.94
Oct 6,TBR,Pete Fairbanks,1.13,0.86
Oct 6,SFG,Camilo Doval,2.53,2.98
Oct 6,ARI,Joe Mantiply,2.85,2.83
Oct 6,ATL,Dylan Lee,2.13,2.66
Oct 6,SDP,Sean Manaea,4.96,4.53
Oct 6,LAD,Andrew Heaney,3.1,3.75
Oct 6,NYY,Clay Holmes,2.54,2.85
Oct 6,TOR,Jose Berrios,5.23,4.55
Oct 6,NYM,Adam Ottavino,2.06,2.85
Oct 6,ATL,Kenley Jansen,3.38,3.21
Oct 6,CLE,Sam Hentges,2.32,2.48
Oct 6,MIL,Eric Lauer,3.69,4.5
Oct 6,HOU,Jose Urquidy,3.94,4.6
Oct 6,DET,Matt Manning,3.43,3.78
Oct 6,CHW,Michael Kopech,3.54,4.5
Oct 6,LAA,Michael Lorenzen,4.24,4.31
Oct 6,CIN,Alexis Diaz,1.84,3.32
Oct 6,MIL,Adrian Houser,4.73,4.21
Oct 6,STL,Dakota Hudson,4.45,4.34
Oct 6,CIN,Buck Farmer,3.83,3.03
Oct 6,- - -,Taylor Rogers,4.76,3.31
Oct 6,BOS,Nathan Eovaldi,3.87,4.3
Oct 6,WSN,Hunter Harvey,2.52,2.07
Oct 6,CLE,Enyel De Los Santos,3.04,2.62
Oct 6,PHI,Nick Nelson,4.85,3.04
Oct 6,PHI,Andrew Bellatti,3.31,2.87
Oct 6,PHI,Seranthony Dominguez,3.0,3.09
Oct 6,- - -,Austin Voth,4.34,4.14
Oct 6,CLE,James Karinchak,2.08,2.29
Oct 6,BAL,Cionel Perez,1.4,2.8
Oct 6,TBR,J.P. Feyereisen,0.0,1.67
Oct 6,LAD,Walker Buehler,4.02,3.8
Oct 6,NYY,Wandy Peralta,2.72,2.86
Oct 6,TEX,Brock Burke,1.97,3.29
Oct 6,PIT,Duane Underwood Jr.,4.4,2.92
Oct 6,TBR,Brooks Raley,2.68,2.74
Oct 6,HOU,Ryne Stanek,1.15,3.02
Oct 6,COL,Tyler Kinley,0.75,1.74
Oct 6,ATL,Ian Anderson,5.0,4.25
Oct 6,PIT,Roansy Contreras,3.79,4.38
Oct 6,MIN,Chris Paddack,4.03,1.72
Oct 6,COL,Austin Gomber,5.56,4.54
Oct 6,MIL,Aaron Ashby,4.44,4.06
Oct 6,DET,Andrew Chafin,2.83,3.06
Oct 6,BAL,Tyler Wells,4.25,4.52
Oct 6,OAK,Zach Jackson,3.0,2.78
Oct 6,BAL,Spenser Watkins,4.7,4.24
Oct 6,CLE,Zach Plesac,4.31,4.45
Oct 6,TOR,Adam Cimber,2.8,3.47
Oct 6,SFG,John Brebbia,3.18,3.32
Oct 6,TOR,Yimi Garcia,3.1,3.47
Oct 6,MIN,Griffin Jax,3.36,3.17
Oct 6,TEX,Taylor Hearn,5.13,3.98
Oct 6,MIN,Jovani Moran,2.21,1.78
Oct 6,NYY,Lucas Luetge,2.67,3.03
Oct 6,KCR,Scott Barlow,2.18,3.62
Oct 6,LAD,Craig Kimbrel,3.75,3.23
Oct 6,TEX,Dane Dunning,4.46,4.45
Oct 6,WSN,Patrick Corbin,6.31,4.84
Oct 6,CHC,Keegan Thompson,3.76,4.4
Oct 6,LAD,Brusdar Graterol,3.26,2.95
Oct 6,SDP,MacKenzie Gore,4.5,4.11
Oct 6,- - -,Jorge Lopez,2.54,3.42
Oct 6,HOU,Lance McCullers Jr.,2.27,3.49
Oct 6,DET,Jason Foley,3.88,2.76
Oct 6,OAK,Paul Blackburn,4.28,4.21
Oct 6,LAD,Daniel Hudson,2.22,2.04
Oct 6,SDP,Nabil Crismatt,2.94,3.22
Oct 6,MIA,Trevor Rogers,5.47,4.36
Oct 6,ATL,Bryce Elder,3.17,3.78
Oct 6,- - -,Jose Urena,5.01,4.65
Oct 6,- - -,Josh Hader,5.22,3.45
Oct 6,- - -,Jesse Chavez,3.76,3.39
Oct 6,- - -,David Robertson,2.4,3.58
Oct 6,TOR,David Phelps,2.83,3.16
Oct 6,DET,Alex Lange,3.41,3.25
Oct 6,MIL,Brad Boxberger,2.95,3.57
Oct 6,- - -,Chris Stratton,4.26,3.32
Oct 6,BAL,Kyle Bradish,4.9,4.46
Oct 6,KCR,Daniel Lynch,5.13,4.63
Oct 6,MIL,Hoby Milner,3.76,3.16
Oct 6,BOS,Tanner Houck,3.15,3.3
Oct 6,SDP,Robert Suarez,2.27,3.22
Oct 6,CHC,Hayden Wesneski,2.18,3.2
Oct 6,SEA,Penn Murfee,2.99,3.1
Oct 6,KCR,Brad Keller,5.09,4.5
Oct 6,MIA,Dylan Floro,3.02,3.13
Oct 6,KCR,Taylor Clarke,4.04,3.3
Oct 6,CHW,Kendall Graveman,3.18,3.42
Oct 6,- - -,Johan Oviedo,3.21,3.74
Oct 6,CIN,Connor Overton,2.73,3.66
Oct 6,MIN,Dylan Bundy,4.89,4.66
Oct 6,SEA,Chris Flexen,3.73,4.49
Oct 6,TEX,Dennis Santana,5.22,3.35
Oct 6,- - -,Michael Fulmer,3.39,3.57
Oct 6,NYY,Domingo German,3.61,4.44
Oct 6,STL,Steven Matz,5.25,3.78
Oct 6,SEA,Matt Brash,4.44,3.51
Oct 6,WSN,Kyle Finnegan,3.51,3.76
