Date,Opp,Name,ERA,FIP
May 5,TOR,Kevin Gausman,2.27,0.52
May 5,SFG,Carlos Rodon,1.55,1.42
May 5,SDP,Joe Musgrove,1.97,2.14
May 5,NYY,Michael King,0.51,0.79
May 5,ATL,Kyle Wright,1.74,2.11
May 5,CHW,Dylan Cease,2.48,2.01
May 5,NYM,Tylor Megill,2.43,2.45
May 5,MIA,Pablo Lopez,1.29,2.08
May 5,ARI,Merrill Kelly,1.27,2.12
May 5,ATL,Max Fried,3.00,2.48
May 5,LAD,Clayton Kershaw,2.35,2.03
May 5,DET,Tarik Skubal,3.92,1.61
May 5,STL,Steven Matz,4.56,2.14
May 5,OAK,Paul Blackburn,2.22,2.13
May 5,STL,Miles Mikolas,1.52,2.91
May 5,ARI,Zac Gallen,1.27,2.32
May 5,NYM,Carlos Carrasco,3.30,2.91
May 5,MIN,Chris Paddack,3.15,1.96
May 5,MIL,Corbin Burnes,1.93,2.90
May 5,OAK,Frankie Montas,3.44,3.33
May 5,BOS,Garrett Whitlock,1.25,2.19
May 5,SFG,Logan Webb,3.26,2.82
May 5,PHI,Zach Eflin,4.50,2.90
May 5,LAA,Patrick Sandoval,1.29,2.30
May 5,TEX,Martin Perez,2.25,2.86
May 5,CHW,Michael Kopech,1.17,2.68
May 5,HOU,Justin Verlander,1.93,3.27
May 5,CIN,Tyler Mahle,7.01,3.23
May 5,NYM,Max Scherzer,2.61,3.05
May 5,MIL,Freddy Peralta,5.09,2.50
May 5,LAD,Walker Buehler,2.12,3.15
May 5,LAA,Shohei Ohtani,4.19,2.13
May 5,MIN,Joe Ryan,1.63,3.11
May 5,MIL,Eric Lauer,1.93,2.51
May 5,NYY,Nestor Cortes,1.82,2.50
May 5,MIL,Brandon Woodruff,5.18,2.87
May 5,MIA,Jesus Luzardo,3.10,2.33
May 5,NYM,Chris Bassitt,2.61,3.24
May 5,CLE,Triston McKenzie,2.70,2.90
May 5,TOR,Alek Manoah,1.45,3.18
May 5,BAL,Bruce Zimmermann,2.59,2.82
May 5,TBR,Shane McClanahan,3.00,2.82
May 5,PHI,Zack Wheeler,4.10,3.07
May 5,CLE,Shane Bieber,2.45,3.08
May 5,WSN,Patrick Corbin,7.16,3.33
May 5,SEA,Logan Gilbert,0.64,3.08
May 5,TBR,Corey Kluber,2.36,3.00
May 5,MIL,Adrian Houser,2.53,3.02
May 5,STL,Adam Wainwright,3.18,3.38
May 5,KCR,Brad Keller,1.74,3.50
May 5,COL,Austin Gomber,3.58,3.51
May 5,SDP,MacKenzie Gore,1.71,2.92
May 5,LAA,Noah Syndergaard,2.63,3.36
May 5,NYY,Jordan Montgomery,2.88,2.99
May 5,SDP,Sean Manaea,3.60,3.51
May 5,NYY,Jameson Taillon,2.84,3.35
May 5,MIL,Josh Hader,0.00,1.18
May 5,TOR,Ross Stripling,3.79,2.85
May 5,TBR,J.P. Feyereisen,0.00,1.31
May 5,LAD,Julio Urias,1.88,3.74
May 5,TBR,Jeffrey Springs,0.69,1.65
May 5,LAD,Andrew Heaney,0.00,1.18
May 5,ATL,A.J. Minter,2.53,0.96
May 5,TBR,Drew Rasmussen,3.13,3.20
May 5,CHC,David Robertson,0.00,1.57
May 5,ARI,Humberto Castellanos,4.12,3.11
May 5,COL,Kyle Freeland,4.85,4.15
May 5,SDP,Yu Darvish,4.44,3.57
May 5,COL,Chad Kuhl,1.90,3.66
May 5,TOR,Jordan Romano,1.35,2.51
May 5,MIL,Brad Boxberger,2.35,1.94
May 5,STL,Ryan Helsley,0.00,-0.73
May 5,BAL,Jorge Lopez,1.46,2.30
May 5,LAD,Tony Gonsolin,1.64,3.43
May 5,PIT,David Bednar,0.77,2.08
May 5,WSN,Josiah Gray,3.12,3.96
May 5,CHW,Kendall Graveman,1.35,1.91
May 5,WSN,Victor Arano,4.76,1.52
May 5,SDP,Taylor Rogers,0.00,1.80
May 5,NYY,Clay Holmes,0.69,1.80
May 5,KCR,Zack Greinke,2.57,4.08
May 5,COL,Antonio Senzatela,3.66,3.77
May 5,HOU,Hector Neris,0.75,1.61
May 5,COL,Daniel Bard,2.00,2.00
May 5,PIT,Chris Stratton,5.23,1.47
May 5,PHI,Kyle Gibson,2.93,3.94
May 5,PIT,Dillon Peters,0.00,2.63
May 5,CLE,Trevor Stephan,1.59,1.61
May 5,TEX,Brock Burke,1.93,1.68
May 5,PHI,Aaron Nola,3.90,3.87
May 5,LAD,Tyler Anderson,2.55,3.17
May 5,WSN,Erick Fedde,4.68,4.11
May 5,PIT,Mitch Keller,5.32,3.87
May 5,DET,Eduardo Rodriguez,5.33,3.78
May 5,TEX,Dane Dunning,3.81,3.65
May 5,TOR,Tim Mayza,0.93,1.35
May 5,PIT,Wil Crowe,1.08,2.15
May 5,TBR,Jalen Beeks,0.00,1.29
May 5,CIN,Jeff Hoffman,1.88,2.21
May 5,ATL,Collin McHugh,4.50,1.81
May 5,ATL,Kenley Jansen,2.70,1.11
May 5,BOS,Michael Wacha,1.38,3.92
May 5,SFG,Alex Cobb,5.40,1.81
May 5,BOS,Tanner Houck,2.41,3.06
May 5,SEA,Erik Swanson,0.00,0.73
May 5,CHC,Scott Effross,1.59,1.26
May 5,OAK,Dany Jimenez,0.00,1.71
May 5,LAD,Daniel Hudson,1.17,1.29
May 5,CHC,Keegan Thompson,0.89,3.26
May 5,HOU,Jake Odorizzi,4.15,3.99
May 5,PIT,Jose Quintana,3.38,3.65
May 5,BAL,Dillon Tate,2.08,2.04
May 5,DET,Michael Fulmer,0.00,2.14
May 5,HOU,Cristian Javier,0.96,2.95
May 5,ARI,Kyle Nelson,1.69,1.71
May 5,CLE,Cal Quantrill,3.54,4.08
May 5,BAL,John Means,3.38,2.11
May 5,SFG,Tyler Rogers,1.86,1.56
May 5,MIL,Trevor Gott,1.93,2.04
May 5,PHI,Seranthony Dominguez,3.86,1.72
May 5,NYM,Drew Smith,0.00,1.79
May 5,NYM,Chasen Shreve,2.00,0.67
May 5,- - -,Jesse Chavez,2.84,2.56
May 5,CHW,Matt Foster,0.77,2.17
May 5,CLE,Sam Hentges,0.82,0.39
May 5,NYY,Gerrit Cole,3.00,3.86
May 5,SFG,Jakob Junis,0.00,1.41
May 5,SDP,Luis Garcia,2.35,1.55
May 5,KCR,Taylor Clarke,0.90,2.41
May 5,MIN,Bailey Ober,2.75,3.57
May 5,TOR,Adam Cimber,2.19,3.11
May 5,OAK,A.J. Puk,0.79,1.35
May 5,MIA,Sandy Alcantara,2.90,4.24
May 5,CHW,Lucas Giolito,3.20,3.72
May 5,NYY,Luis Severino,3.75,3.82
May 5,COL,Tyler Kinley,0.90,2.31
May 5,NYM,David Peterson,1.89,3.38
May 5,LAA,Jimmy Herget,5.11,2.46
May 5,SEA,Robbie Ray,4.15,4.40
May 5,STL,Giovanny Gallegos,5.63,2.11
May 5,TOR,Yimi Garcia,4.35,2.63
May 5,TBR,Andrew Kittredge,1.46,2.46
May 5,LAA,Michael Lorenzen,3.04,4.17
May 5,PHI,Jose Alvarado,3.52,1.42
May 5,MIL,Devin Williams,3.86,2.36
May 5,SFG,John Brebbia,1.80,2.21
May 5,WSN,Sean Doolittle,0.00,0.86
May 5,SDP,Pierce Johnson,4.50,1.45
May 5,KCR,Collin Snider,2.70,2.51
May 5,BOS,Matt Strahm,3.12,2.19
May 5,MIA,Anthony Bass,1.50,2.78
May 5,CHC,Rowan Wick,1.04,1.61
May 5,LAD,Alex Vesia,0.00,0.68
May 5,PIT,Bryse Wilson,3.79,4.22
May 5,HOU,Rafael Montero,0.87,2.34
May 5,CHC,Marcus Stroman,5.13,4.21
May 5,MIN,Dylan Bundy,5.76,4.03
May 5,WSN,Tanner Rainey,0.00,1.54
May 5,HOU,Framber Valdez,3.42,4.10
May 5,TBR,Matt Wisler,1.50,2.86
May 5,SEA,Chris Flexen,3.10,4.22
May 5,LAD,Evan Phillips,4.50,2.41
May 5,PHI,Corey Knebel,0.87,2.53
May 5,ARI,Joe Mantiply,0.87,2.63
May 5,TOR,David Phelps,2.61,2.63
May 5,MIN,Jhoan Duran,3.00,2.61
May 5,KCR,Josh Staumont,4.50,3.11
May 5,LAA,Raisel Iglesias,2.79,2.70
May 5,BOS,Nathan Eovaldi,2.51,4.47
May 5,DET,Alex Lange,2.16,2.03
May 5,KCR,Scott Barlow,1.59,3.38
May 5,TEX,Glenn Otto,2.89,3.33
May 5,ARI,Mark Melancon,1.13,3.11
May 5,CHC,Justin Steele,5.50,3.89
