Date,Opp,Name,ERA,FIP
Aug 2,SFG,Carlos Rodon,3.00,2.28
Aug 2,ATL,Max Fried,2.58,2.47
Aug 2,MIA,Sandy Alcantara,1.99,2.86
Aug 2,TOR,Kevin Gausman,3.30,2.06
Aug 2,PHI,Aaron Nola,3.25,2.85
Aug 2,HOU,Justin Verlander,1.81,3.03
Aug 2,LAA,Shohei Ohtani,2.81,2.36
Aug 2,CHW,Dylan Cease,2.01,2.69
Aug 2,TBR,Shane McClanahan,2.07,2.63
Aug 2,PHI,Zack Wheeler,2.77,2.84
Aug 2,MIL,Corbin Burnes,2.31,2.92
Aug 2,SDP,Yu Darvish,3.24,3.13
Aug 2,DET,Tarik Skubal,3.52,2.96
Aug 2,ARI,Merrill Kelly,2.87,3.11
Aug 2,TEX,Martin Perez,2.52,3.06
Aug 2,CLE,Shane Bieber,3.41,2.98
Aug 2,SDP,Joe Musgrove,2.65,3.26
Aug 2,NYM,Max Scherzer,2.13,2.64
Aug 2,HOU,Framber Valdez,2.80,3.16
Aug 2,TOR,Alek Manoah,2.43,3.40
Aug 2,LAD,Tyler Anderson,2.61,3.20
Aug 2,ATL,Spencer Strider,2.91,2.17
Aug 2,SFG,Logan Webb,3.20,3.31
Aug 2,NYY,Gerrit Cole,3.30,3.18
Aug 2,LAD,Clayton Kershaw,2.66,2.60
Aug 2,LAA,Patrick Sandoval,3.61,3.00
Aug 2,MIL,Brandon Woodruff,3.55,2.73
Aug 2,TBR,Corey Kluber,4.03,3.37
Aug 2,ATL,Kyle Wright,2.93,3.37
Aug 2,CIN,Tyler Mahle,4.40,3.60
Aug 2,NYY,Nestor Cortes,2.53,3.35
Aug 2,SEA,Logan Gilbert,2.78,3.42
Aug 2,PIT,Jose Quintana,3.50,3.23
Aug 2,CIN,Luis Castillo,2.86,3.19
Aug 2,STL,Miles Mikolas,2.86,3.68
Aug 2,NYM,Edwin Diaz,1.51,0.95
Aug 2,STL,Ryan Helsley,0.64,1.25
Aug 2,NYM,Taijuan Walker,2.79,3.34
Aug 2,TOR,Ross Stripling,3.16,3.02
Aug 2,NYM,Carlos Carrasco,3.79,3.43
Aug 2,MIA,Pablo Lopez,3.41,3.59
Aug 2,OAK,Frankie Montas,3.18,3.35
Aug 2,LAD,Julio Urias,2.71,3.78
Aug 2,SFG,Alex Cobb,4.06,2.91
Aug 2,TEX,Jon Gray,3.83,3.48
Aug 2,NYY,Jameson Taillon,3.72,3.67
Aug 2,MIL,Devin Williams,1.59,1.30
Aug 2,LAD,Tony Gonsolin,2.41,3.56
Aug 2,NYY,Michael King,2.29,2.23
Aug 2,CHC,Justin Steele,3.86,3.54
Aug 2,ARI,Zac Gallen,3.24,3.69
Aug 2,SFG,Alex Wood,4.11,3.46
Aug 2,COL,Kyle Freeland,4.63,4.28
Aug 2,HOU,Cristian Javier,3.26,3.38
Aug 2,STL,Adam Wainwright,3.28,3.80
Aug 2,PIT,JT Brubaker,4.40,3.85
Aug 2,KCR,Brady Singer,3.51,3.57
Aug 2,NYM,Chris Bassitt,3.83,3.79
Aug 2,MIN,Sonny Gray,3.41,3.41
Aug 2,CHW,Reynaldo Lopez,2.98,1.67
Aug 2,PHI,Ranger Suarez,3.60,3.83
Aug 2,CHC,Keegan Thompson,3.16,3.69
Aug 2,CLE,Emmanuel Clase,1.22,2.03
Aug 2,BOS,Nick Pivetta,4.47,4.16
Aug 2,MIA,Anthony Bass,1.41,2.06
Aug 2,MIL,Freddy Peralta,4.42,2.10
Aug 2,CLE,Triston McKenzie,3.24,4.11
Aug 2,ATL,A.J. Minter,2.76,1.88
Aug 2,OAK,Cole Irvin,3.05,3.82
Aug 2,PIT,Mitch Keller,4.37,3.95
Aug 2,NYY,Jordan Montgomery,3.69,3.91
Aug 2,SDP,Taylor Rogers,4.35,2.34
Aug 2,PIT,David Bednar,2.70,2.49
Aug 2,BOS,Garrett Whitlock,3.07,3.06
Aug 2,OAK,Paul Blackburn,4.15,3.80
Aug 2,TBR,Drew Rasmussen,3.17,3.62
Aug 2,TEX,Brock Burke,1.17,2.46
Aug 2,CHC,Scott Effross,2.66,2.18
Aug 2,TBR,Jason Adam,1.33,2.35
Aug 2,HOU,Jake Odorizzi,3.75,3.61
Aug 2,PHI,Seranthony Dominguez,1.67,2.37
Aug 2,LAA,Noah Syndergaard,3.83,3.95
Aug 2,ATL,Charlie Morton,4.34,4.07
Aug 2,COL,Antonio Senzatela,4.87,4.10
Aug 2,SDP,Blake Snell,4.43,3.56
Aug 2,HOU,Rafael Montero,1.67,2.39
Aug 2,HOU,Luis Garcia,3.81,4.14
Aug 2,CHC,Marcus Stroman,3.99,3.61
Aug 2,BOS,John Schreiber,1.55,2.37
Aug 2,SDP,Mike Clevinger,3.13,3.61
Aug 2,LAD,Evan Phillips,1.58,2.39
Aug 2,PHI,Zach Eflin,4.37,3.83
Aug 2,TBR,Jeffrey Springs,2.70,3.62
Aug 2,MIA,Braxton Garrett,3.96,3.23
Aug 2,CLE,Trevor Stephan,2.45,2.17
Aug 2,LAD,Craig Kimbrel,4.25,1.92
