Date,Opp,Name,ERA,FIP
Apr 9,LAA,Shohei Ohtani,1.93,-0.10
Apr 9,SDP,Sean Manaea,0.00,1.54
Apr 9,NYM,Tylor Megill,0.00,0.71
Apr 9,HOU,Framber Valdez,0.00,1.76
Apr 9,STL,Adam Wainwright,0.00,1.11
Apr 9,ATL,Charlie Morton,3.38,1.80
Apr 9,CLE,Shane Bieber,0.00,1.40
Apr 9,HOU,Jake Odorizzi,4.50,2.11
Apr 9,CIN,Tyler Mahle,0.00,1.51
Apr 9,ATL,Max Fried,7.94,2.41
Apr 9,LAD,Walker Buehler,3.60,2.31
Apr 9,ARI,Merrill Kelly,0.00,1.11
Apr 9,CHW,Lucas Giolito,0.00,1.61
Apr 9,KCR,Scott Barlow,0.00,0.11
Apr 9,BAL,John Means,2.25,1.36
Apr 9,CHC,Kyle Hendricks,1.69,2.74
Apr 9,SFG,Logan Webb,1.50,2.61
Apr 9,BOS,Ryan Brasier,0.00,0.11
Apr 9,COL,Kyle Freeland,12.27,2.29
Apr 9,TBR,Shane McClanahan,0.00,1.96
Apr 9,KCR,Zack Greinke,1.59,3.29
Apr 9,NYY,Aroldis Chapman,0.00,-0.89
Apr 9,SEA,Drew Steckenrider,0.00,1.11
Apr 9,COL,Ashton Goudeau,0.00,1.40
Apr 9,TBR,Jeffrey Springs,0.00,-2.89
Apr 9,TEX,Jon Gray,6.75,2.61
Apr 9,NYY,Michael King,0.00,1.61
Apr 9,LAD,Daniel Hudson,0.00,-2.89
Apr 9,SFG,Tyler Rogers,0.00,-2.89
Apr 9,WSN,Sean Doolittle,0.00,1.11
Apr 9,ATL,Spencer Strider,0.00,-1.89
Apr 9,WSN,Patrick Corbin,4.50,3.36
Apr 9,MIN,Jhoan Duran,0.00,0.61
Apr 9,SFG,Jose Alvarez,0.00,-2.89
Apr 9,CHW,Kendall Graveman,0.00,1.91
Apr 9,SDP,Tim Hill,0.00,3.11
Apr 9,TOR,Jordan Romano,0.00,-0.89
Apr 9,HOU,Bryan Abreu,0.00,0.11
Apr 9,BAL,Cionel Perez,0.00,-0.89
Apr 9,WSN,Paolo Espino,3.86,1.83
Apr 9,CHC,David Robertson,0.00,1.11
Apr 9,LAD,Craig Kimbrel,9.00,-0.89
Apr 9,SDP,Pierce Johnson,0.00,0.86
Apr 9,SDP,Yu Darvish,0.00,4.11
Apr 9,NYM,Drew Smith,0.00,-0.89
Apr 9,WSN,Victor Arano,9.00,2.11
