Date,Opp,Name,ERA,FIP
Sep 5,SFG,Carlos Rodon,2.92,2.34
Sep 5,TOR,Kevin Gausman,3.14,2.12
Sep 5,PHI,Aaron Nola,3.43,2.71
Sep 5,ATL,Max Fried,2.48,2.49
Sep 5,HOU,Justin Verlander,1.84,2.70
Sep 5,MIA,Sandy Alcantara,2.36,3.07
Sep 5,LAA,Shohei Ohtani,2.58,2.54
Sep 5,ATL,Spencer Strider,2.67,1.83
Sep 5,NYM,Max Scherzer,2.26,2.53
Sep 5,CLE,Shane Bieber,3.06,2.85
Sep 5,TBR,Shane McClanahan,2.20,2.64
Sep 5,ARI,Merrill Kelly,2.84,3.09
Sep 5,CHW,Dylan Cease,2.13,3.02
Sep 5,PHI,Zack Wheeler,3.07,2.97
Sep 5,SDP,Yu Darvish,3.26,3.27
Sep 5,ARI,Zac Gallen,2.42,3.08
Sep 5,MIL,Corbin Burnes,3.02,3.30
Sep 5,LAD,Tyler Anderson,2.68,3.29
Sep 5,TOR,Alek Manoah,2.48,3.35
Sep 5,SFG,Logan Webb,2.89,3.19
Sep 5,HOU,Framber Valdez,2.63,3.22
Sep 5,NYY,Gerrit Cole,3.28,3.22
Sep 5,LAA,Patrick Sandoval,3.02,3.07
Sep 5,SDP,Joe Musgrove,3.01,3.37
Sep 5,- - -,Luis Castillo,2.71,3.08
Sep 5,TEX,Martin Perez,2.89,3.31
Sep 5,DET,Tarik Skubal,3.52,2.96
Sep 5,LAD,Julio Urias,2.29,3.61
Sep 5,SFG,Alex Cobb,3.58,2.84
Sep 5,STL,Adam Wainwright,3.21,3.54
Sep 5,- - -,Jose Quintana,3.47,3.27
Sep 5,ATL,Kyle Wright,2.85,3.49
Sep 5,NYY,Nestor Cortes,2.68,3.40
Sep 5,CHC,Justin Steele,3.18,3.20
Sep 5,LAD,Clayton Kershaw,2.59,2.70
Sep 5,LAD,Tony Gonsolin,2.10,3.33
Sep 5,TBR,Corey Kluber,4.00,3.61
Sep 5,NYM,Chris Bassitt,3.32,3.51
Sep 5,- - -,Jordan Montgomery,3.15,3.52
Sep 5,TOR,Ross Stripling,3.03,3.04
Sep 5,STL,Miles Mikolas,3.32,3.85
Sep 5,NYM,Edwin Diaz,1.52,1.12
Sep 5,SEA,Logan Gilbert,3.35,3.59
Sep 5,SEA,George Kirby,3.15,3.07
Sep 5,MIL,Brandon Woodruff,3.54,3.32
Sep 5,TBR,Drew Rasmussen,2.70,3.23
Sep 5,PHI,Ranger Suarez,3.52,3.61
Sep 5,SDP,Blake Snell,3.87,3.09
Sep 5,CLE,Triston McKenzie,3.18,3.90
Sep 5,TBR,Jeffrey Springs,2.62,3.11
Sep 5,HOU,Cristian Javier,3.07,3.48
Sep 5,KCR,Brady Singer,3.33,3.61
Sep 5,MIA,Pablo Lopez,3.66,3.75
Sep 5,PIT,JT Brubaker,4.35,3.71
Sep 5,- - -,Tyler Mahle,4.40,3.87
Sep 5,- - -,Noah Syndergaard,4.07,3.71
Sep 5,MIN,Sonny Gray,3.10,3.42
Sep 5,- - -,Frankie Montas,3.79,3.62
Sep 5,SEA,Robbie Ray,3.45,3.87
Sep 5,STL,Ryan Helsley,0.99,2.01
Sep 5,CLE,Emmanuel Clase,1.11,1.86
Sep 5,CHW,Reynaldo Lopez,2.87,1.54
Sep 5,CHW,Johnny Cueto,2.93,3.87
Sep 5,NYM,Carlos Carrasco,3.91,3.65
Sep 5,NYM,Taijuan Walker,3.45,3.73
Sep 5,TEX,Jon Gray,3.83,3.48
Sep 5,BOS,Nick Pivetta,4.37,4.13
Sep 5,HOU,Luis Garcia,3.99,3.93
Sep 5,ATL,Charlie Morton,4.01,3.96
Sep 5,BOS,John Schreiber,2.11,2.19
Sep 5,MIL,Devin Williams,1.76,2.05
Sep 5,ATL,A.J. Minter,2.24,2.03
Sep 5,COL,Kyle Freeland,4.75,4.51
Sep 5,BAL,Dean Kremer,3.22,3.38
Sep 5,MIL,Freddy Peralta,3.56,3.07
Sep 5,SFG,Alex Wood,5.10,3.76
Sep 5,PHI,Kyle Gibson,4.48,4.21
Sep 5,NYY,Michael King,2.29,2.23
Sep 5,CHC,Marcus Stroman,3.73,3.72
Sep 5,PIT,Mitch Keller,4.43,3.93
Sep 5,OAK,Cole Irvin,3.35,3.92
Sep 5,NYM,Jacob deGrom,1.98,1.41
Sep 5,LAD,Evan Phillips,1.38,2.21
Sep 5,NYY,Jameson Taillon,3.97,4.08
Sep 5,- - -,Taylor Rogers,4.19,2.46
Sep 5,LAA,Reid Detmers,3.67,4.04
Sep 5,BAL,Jordan Lyles,4.25,4.27
Sep 5,MIA,Jesus Luzardo,3.44,3.02
Sep 5,- - -,Anthony Bass,1.38,2.45
Sep 5,BOS,Michael Wacha,2.56,3.80
Sep 5,SEA,Andres Munoz,2.78,2.19
Sep 5,SEA,Erik Swanson,1.02,1.70
Sep 5,PHI,Seranthony Dominguez,1.64,2.27
Sep 5,BOS,Garrett Whitlock,3.46,3.19
Sep 5,HOU,Hector Neris,3.36,2.35
Sep 5,COL,Antonio Senzatela,5.07,4.05
Sep 5,CIN,Graham Ashcraft,3.97,3.93
Sep 5,CLE,Trevor Stephan,2.58,2.12
Sep 5,CLE,Cal Quantrill,3.55,4.31
Sep 5,NYM,David Peterson,3.32,3.54
Sep 5,CIN,Nick Lodolo,3.95,3.81
Sep 5,DET,Joe Jimenez,3.12,1.88
Sep 5,HOU,Jose Urquidy,3.51,4.34
Sep 5,- - -,Scott Effross,2.75,2.39
Sep 5,PIT,David Bednar,2.70,2.49
Sep 5,TBR,Jason Adam,1.30,2.62
Sep 5,SDP,Luis Garcia,3.24,2.69
Sep 5,MIN,Joe Ryan,3.88,4.27
Sep 5,TBR,Brooks Raley,2.22,2.08
Sep 5,HOU,Ryan Pressly,3.11,2.08
Sep 5,COL,German Marquez,4.86,4.69
Sep 5,MIN,Dylan Bundy,4.34,4.16
Sep 5,MIA,Braxton Garrett,3.67,3.46
Sep 5,LAA,Jimmy Herget,2.63,2.95
Sep 5,KCR,Zack Greinke,4.14,4.27
Sep 5,STL,Giovanny Gallegos,2.88,2.79
Sep 5,BAL,Felix Bautista,1.53,2.93
Sep 5,HOU,Rafael Montero,2.59,2.66
Sep 5,BOS,Rich Hill,4.52,4.04
Sep 5,TOR,Jordan Romano,2.06,3.00
Sep 5,MIN,Jhoan Duran,1.82,2.72
Sep 5,ATL,Collin McHugh,2.78,2.79
Sep 5,COL,Daniel Bard,2.23,3.30
Sep 5,CHW,Lucas Giolito,5.21,4.30
Sep 5,- - -,Mitch White,4.67,3.83
Sep 5,HOU,Bryan Abreu,1.99,2.03
Sep 5,NYY,Clay Holmes,2.42,2.63
Sep 5,DET,Andrew Chafin,2.74,2.42
Sep 5,ARI,Joe Mantiply,2.85,2.67
Sep 5,PHI,Zach Eflin,4.37,3.83
Sep 5,TEX,Brock Burke,1.55,2.98
Sep 5,BAL,Bryan Baker,4.09,2.77
Sep 5,- - -,Jake Odorizzi,3.90,4.21
Sep 5,LAD,Alex Vesia,2.42,2.35
Sep 5,CHW,Liam Hendriks,3.26,2.96
Sep 5,- - -,Jorge Lopez,1.95,3.01
Sep 5,LAD,Craig Kimbrel,3.97,2.50
Sep 5,CHW,Michael Kopech,3.58,4.44
Sep 5,- - -,Austin Voth,4.41,3.87
Sep 5,CIN,Alexis Diaz,1.72,3.09
