Date,Opp,Name,ERA,FIP
Jun 4,TOR,Kevin Gausman,2.51,1.54
Jun 4,DET,Tarik Skubal,2.15,1.99
Jun 4,TEX,Martin Perez,1.42,2.32
Jun 4,SDP,Joe Musgrove,1.64,2.73
Jun 4,MIA,Sandy Alcantara,1.81,3.07
Jun 4,NYY,Gerrit Cole,2.78,2.56
Jun 4,NYY,Nestor Cortes,1.50,2.46
Jun 4,SFG,Carlos Rodon,3.44,2.48
Jun 4,TBR,Shane McClanahan,2.10,2.57
Jun 4,ATL,Max Fried,2.74,2.90
Jun 4,PHI,Zack Wheeler,3.16,2.35
Jun 4,NYY,Jameson Taillon,2.30,2.86
Jun 4,TOR,Alek Manoah,1.98,3.00
Jun 4,CLE,Shane Bieber,3.12,2.77
Jun 4,MIL,Corbin Burnes,2.50,3.11
Jun 4,OAK,Frankie Montas,3.20,3.07
Jun 4,SEA,Logan Gilbert,2.22,3.07
Jun 4,MIA,Pablo Lopez,1.83,2.91
Jun 4,SDP,MacKenzie Gore,1.71,2.33
Jun 4,ATL,Kyle Wright,2.41,2.91
Jun 4,LAD,Tyler Anderson,2.59,3.09
Jun 4,NYM,Carlos Carrasco,3.63,2.90
Jun 4,CHW,Dylan Cease,3.69,2.83
Jun 4,MIL,Freddy Peralta,4.42,2.10
Jun 4,HOU,Framber Valdez,2.57,3.13
Jun 4,PHI,Zach Eflin,3.88,3.01
Jun 4,LAA,Patrick Sandoval,2.70,2.63
Jun 4,PHI,Aaron Nola,3.92,3.41
Jun 4,ARI,Zac Gallen,2.32,2.95
Jun 4,NYM,Max Scherzer,2.54,2.95
Jun 4,LAD,Tony Gonsolin,1.59,3.01
Jun 4,SDP,Sean Manaea,3.77,3.61
Jun 4,STL,Miles Mikolas,3.02,3.57
Jun 4,SFG,Logan Webb,3.52,3.32
Jun 4,NYY,Michael King,3.10,2.01
Jun 4,MIL,Josh Hader,0.00,1.07
Jun 4,PHI,Kyle Gibson,3.83,3.45
Jun 4,SDP,Yu Darvish,4.03,3.44
Jun 4,HOU,Justin Verlander,2.23,3.73
Jun 4,ARI,Merrill Kelly,3.66,3.38
Jun 4,LAD,Walker Buehler,3.22,3.42
Jun 4,PIT,Jose Quintana,2.68,3.13
Jun 4,ATL,A.J. Minter,1.17,0.81
Jun 4,LAD,Clayton Kershaw,1.80,2.25
Jun 4,CIN,Tyler Mahle,5.53,3.67
Jun 4,OAK,Paul Blackburn,2.15,3.15
Jun 4,LAA,Shohei Ohtani,3.99,3.32
Jun 4,MIN,Joe Ryan,2.28,3.25
Jun 4,SFG,Alex Cobb,5.73,2.61
Jun 4,STL,Ryan Helsley,0.48,0.92
Jun 4,CHW,Michael Kopech,2.20,3.38
Jun 4,BOS,Nick Pivetta,3.95,3.77
Jun 4,PIT,David Bednar,1.38,2.00
Jun 4,TBR,J.P. Feyereisen,0.00,1.67
Jun 4,COL,Chad Kuhl,3.17,3.91
Jun 4,CHC,Justin Steele,5.40,3.19
Jun 4,MIN,Chris Paddack,4.03,1.72
Jun 4,BOS,Garrett Whitlock,3.02,3.40
Jun 4,MIN,Bailey Ober,4.01,2.79
Jun 4,COL,Kyle Freeland,4.96,4.12
Jun 4,MIL,Adrian Houser,3.51,3.62
Jun 4,MIN,Sonny Gray,2.41,2.85
Jun 4,NYY,Clay Holmes,0.35,1.71
Jun 4,TBR,Corey Kluber,3.73,3.55
Jun 4,BAL,Jordan Lyles,4.50,3.95
Jun 4,TEX,Dane Dunning,4.11,3.72
Jun 4,HOU,Cristian Javier,2.41,2.84
Jun 4,ATL,Kenley Jansen,3.57,1.92
Jun 4,STL,Adam Wainwright,2.75,3.60
Jun 4,ATL,Spencer Strider,2.83,1.86
Jun 4,BAL,Tyler Wells,3.71,3.87
Jun 4,COL,Tyler Kinley,0.86,1.78
Jun 4,SFG,Alex Wood,4.66,3.44
Jun 4,CLE,Cal Quantrill,3.52,3.84
Jun 4,CIN,Luis Castillo,3.38,2.89
Jun 4,MIL,Devin Williams,3.15,1.71
Jun 4,MIL,Eric Lauer,2.49,3.76
Jun 4,CLE,Triston McKenzie,2.65,3.82
Jun 4,HOU,Luis Garcia,3.14,3.87
Jun 4,ARI,Joe Mantiply,0.43,1.54
Jun 4,CHC,Keegan Thompson,1.99,3.49
Jun 4,TBR,Drew Rasmussen,3.47,3.52
Jun 4,TBR,Jason Adam,0.83,1.68
Jun 4,NYY,Jordan Montgomery,3.04,3.77
Jun 4,HOU,Jake Odorizzi,3.13,3.43
Jun 4,PHI,Seranthony Dominguez,1.83,1.89
Jun 4,MIL,Brandon Woodruff,4.74,3.80
Jun 4,SDP,Luis Garcia,2.66,2.08
Jun 4,LAA,Michael Lorenzen,3.19,3.97
Jun 4,MIN,Devin Smeltzer,1.50,2.61
Jun 4,SFG,John Brebbia,3.18,1.97
Jun 4,CIN,Connor Overton,1.82,3.15
Jun 4,NYM,Tylor Megill,4.41,3.34
Jun 4,TBR,Jeffrey Springs,1.88,3.35
Jun 4,LAA,Noah Syndergaard,4.02,3.88
Jun 4,TEX,Brock Burke,1.01,2.17
Jun 4,MIL,Aaron Ashby,2.70,3.26
Jun 4,CHC,Scott Effross,3.04,1.93
Jun 4,TEX,Jon Gray,4.83,3.72
Jun 4,SEA,Robbie Ray,4.93,4.22
Jun 4,SEA,George Kirby,3.46,2.92
Jun 4,CLE,Emmanuel Clase,2.21,2.08
Jun 4,NYM,Taijuan Walker,2.88,3.68
Jun 4,DET,Alex Lange,1.31,1.90
Jun 4,CLE,Trevor Stephan,4.00,1.95
Jun 4,ARI,Kyle Nelson,1.65,1.46
Jun 4,HOU,Hector Neris,2.01,2.22
Jun 4,TOR,Ross Stripling,4.22,3.27
Jun 4,WSN,Tanner Rainey,2.20,2.01
Jun 4,ATL,Collin McHugh,3.86,2.45
Jun 4,SDP,Taylor Rogers,3.27,2.84
Jun 4,LAA,Jimmy Herget,2.77,2.57
Jun 4,BOS,Matt Strahm,4.20,1.85
Jun 4,OAK,Dany Jimenez,3.92,2.44
Jun 4,LAD,Daniel Hudson,1.96,2.24
Jun 4,HOU,Rafael Montero,0.44,2.24
Jun 4,NYM,Edwin Diaz,2.49,2.60
Jun 4,CHW,Johnny Cueto,2.92,3.07
Jun 4,LAD,Julio Urias,2.89,4.47
Jun 4,CHW,Reynaldo Lopez,4.50,2.61
Jun 4,BAL,Bryan Baker,5.48,2.83
Jun 4,COL,Antonio Senzatela,5.40,4.20
Jun 4,CHW,Lucas Giolito,3.61,3.99
Jun 4,CHC,David Robertson,1.86,2.49
Jun 4,WSN,Erick Fedde,4.60,4.45
Jun 4,PIT,Chris Stratton,3.98,2.57
Jun 4,BOS,Michael Wacha,2.43,4.10
Jun 4,KCR,Brad Keller,4.15,4.41
Jun 4,CLE,Eli Morgan,2.31,2.21
Jun 4,WSN,Patrick Corbin,6.96,4.51
Jun 4,KCR,Josh Staumont,3.66,2.71
Jun 4,STL,Giovanny Gallegos,3.86,2.68
Jun 4,MIN,Dylan Bundy,4.76,4.05
Jun 4,BAL,Jorge Lopez,1.05,2.88
Jun 4,NYY,Luis Severino,3.38,3.95
Jun 4,LAD,Andrew Heaney,0.00,1.18
Jun 4,MIA,Anthony Bass,2.18,2.53
Jun 4,CHW,Liam Hendriks,3.32,2.97
Jun 4,CHC,Marcus Stroman,5.32,4.17
Jun 4,KCR,Joel Payamps,2.95,2.64
Jun 4,OAK,Daulton Jefferies,5.72,3.77
Jun 4,DET,Eduardo Rodriguez,4.38,4.01
Jun 4,TEX,Dennis Santana,1.53,2.60
Jun 4,BAL,Keegan Akin,1.60,2.90
Jun 4,SDP,Nabil Crismatt,1.88,2.70
