Date,Opp,Name,ERA,FIP
Oct 3,SFG,Carlos Rodon,2.88,2.25
Oct 3,PHI,Aaron Nola,3.36,2.65
Oct 3,HOU,Justin Verlander,1.80,2.57
Oct 3,MIA,Sandy Alcantara,2.28,2.99
Oct 3,TOR,Kevin Gausman,3.35,2.38
Oct 3,LAA,Shohei Ohtani,2.35,2.44
Oct 3,ATL,Max Fried,2.48,2.70
Oct 3,ATL,Spencer Strider,2.67,1.83
Oct 3,CLE,Shane Bieber,2.88,2.87
Oct 3,ARI,Zac Gallen,2.46,2.92
Oct 3,CHW,Dylan Cease,2.20,3.10
Oct 3,NYM,Max Scherzer,2.29,2.62
Oct 3,MIL,Corbin Burnes,2.98,3.19
Oct 3,SDP,Yu Darvish,3.10,3.31
Oct 3,SFG,Logan Webb,2.90,3.03
Oct 3,PHI,Zack Wheeler,2.82,2.89
Oct 3,TOR,Alek Manoah,2.24,3.35
Oct 3,HOU,Framber Valdez,2.89,3.14
Oct 3,LAD,Tyler Anderson,2.57,3.31
Oct 3,- - -,Jose Quintana,2.99,2.97
Oct 3,TEX,Martin Perez,2.93,3.21
Oct 3,- - -,Luis Castillo,2.99,3.07
Oct 3,LAD,Clayton Kershaw,2.30,2.56
Oct 3,SDP,Blake Snell,3.38,2.80
Oct 3,NYY,Nestor Cortes,2.44,3.13
Oct 3,TBR,Shane McClanahan,2.54,3.00
Oct 3,LAA,Patrick Sandoval,3.03,3.15
Oct 3,MIL,Brandon Woodruff,3.05,3.06
Oct 3,HOU,Cristian Javier,2.54,3.16
Oct 3,SFG,Alex Cobb,3.79,2.88
Oct 3,CLE,Triston McKenzie,2.99,3.65
Oct 3,LAD,Julio Urias,2.12,3.61
Oct 3,SEA,Logan Gilbert,3.20,3.46
Oct 3,TOR,Ross Stripling,3.01,3.11
Oct 3,SDP,Joe Musgrove,3.03,3.65
Oct 3,NYY,Gerrit Cole,3.51,3.50
Oct 3,SEA,George Kirby,3.21,2.89
Oct 3,ARI,Merrill Kelly,3.43,3.71
Oct 3,TBR,Corey Kluber,4.34,3.57
Oct 3,NYM,Edwin Diaz,1.34,0.89
Oct 3,TBR,Drew Rasmussen,2.84,3.26
Oct 3,ATL,Kyle Wright,3.19,3.58
Oct 3,TBR,Jeffrey Springs,2.45,3.06
Oct 3,DET,Tarik Skubal,3.52,2.96
Oct 3,KCR,Brady Singer,3.23,3.58
Oct 3,MIA,Pablo Lopez,3.75,3.71
Oct 3,STL,Adam Wainwright,3.71,3.66
Oct 3,PHI,Ranger Suarez,3.37,3.61
Oct 3,STL,Miles Mikolas,3.30,3.89
Oct 3,- - -,Jordan Montgomery,3.48,3.61
Oct 3,NYM,Chris Bassitt,3.42,3.66
Oct 3,CHC,Justin Steele,3.18,3.20
Oct 3,COL,Kyle Freeland,4.53,4.21
Oct 3,LAD,Tony Gonsolin,2.10,3.33
Oct 3,NYM,Carlos Carrasco,3.95,3.48
Oct 3,MIN,Sonny Gray,3.08,3.40
Oct 3,CHW,Johnny Cueto,3.39,3.79
Oct 3,CLE,Emmanuel Clase,1.38,2.02
Oct 3,NYY,Jameson Taillon,3.83,3.90
Oct 3,LAA,Reid Detmers,3.77,3.79
Oct 3,- - -,Noah Syndergaard,3.94,3.83
Oct 3,MIL,Devin Williams,1.93,2.01
Oct 3,NYM,Taijuan Walker,3.59,3.79
Oct 3,NYM,Jacob deGrom,3.08,2.13
Oct 3,PIT,Mitch Keller,3.92,3.83
Oct 3,- - -,Tyler Mahle,4.40,3.87
Oct 3,ATL,A.J. Minter,2.09,2.05
Oct 3,MIN,Joe Ryan,3.55,3.99
Oct 3,HOU,Luis Garcia,3.72,3.93
Oct 3,LAD,Evan Phillips,1.16,2.02
Oct 3,CHW,Reynaldo Lopez,2.76,1.93
Oct 3,CHC,Marcus Stroman,3.50,3.76
Oct 3,- - -,Frankie Montas,4.05,3.78
Oct 3,STL,Ryan Helsley,1.26,2.34
Oct 3,CLE,Cal Quantrill,3.42,4.19
Oct 3,MIL,Freddy Peralta,3.58,3.06
Oct 3,PIT,JT Brubaker,4.58,3.94
Oct 3,TEX,Jon Gray,3.93,3.67
Oct 3,CHW,Lance Lynn,3.99,3.82
Oct 3,CIN,Nick Lodolo,3.66,3.90
Oct 3,PHI,Kyle Gibson,5.05,4.28
Oct 3,COL,Daniel Bard,1.82,2.86
Oct 3,SEA,Andres Munoz,2.53,2.08
Oct 3,MIA,Jesus Luzardo,3.53,3.35
Oct 3,BOS,Rich Hill,4.41,3.81
Oct 3,SEA,Robbie Ray,3.71,4.17
Oct 3,KCR,Zack Greinke,3.78,4.07
Oct 3,CLE,Trevor Stephan,2.73,2.20
Oct 3,BAL,Dean Kremer,3.17,3.77
Oct 3,SFG,Alex Wood,5.10,3.76
Oct 3,BOS,John Schreiber,2.29,2.49
Oct 3,CHW,Lucas Giolito,5.00,4.08
Oct 3,SDP,Luis Garcia,3.15,2.50
Oct 3,NYY,Michael King,2.29,2.23
Oct 3,HOU,Hector Neris,3.76,2.34
Oct 3,LAA,Jose Suarez,3.96,3.91
Oct 3,TOR,Jordan Romano,2.14,2.79
Oct 3,LAA,Jimmy Herget,2.26,2.82
Oct 3,CHW,Liam Hendriks,2.86,2.67
Oct 3,SEA,Erik Swanson,1.78,1.93
Oct 3,MIN,Caleb Thielbar,3.55,2.48
Oct 3,BOS,Nick Pivetta,4.56,4.38
Oct 3,PHI,Jose Alvarado,3.26,2.01
Oct 3,BOS,Michael Wacha,3.32,4.14
Oct 3,- - -,Raisel Iglesias,2.51,2.51
Oct 3,MIN,Jhoan Duran,1.86,2.52
Oct 3,- - -,Chris Martin,3.13,2.27
Oct 3,HOU,Rafael Montero,2.39,2.64
Oct 3,ATL,Charlie Morton,4.34,4.26
Oct 3,CIN,Graham Ashcraft,4.52,4.04
Oct 3,STL,Giovanny Gallegos,2.91,2.75
Oct 3,PIT,David Bednar,2.66,2.42
Oct 3,BAL,Jordan Lyles,4.42,4.40
Oct 3,COL,Antonio Senzatela,5.07,4.05
Oct 3,DET,Joe Jimenez,3.49,2.00
Oct 3,LAD,Alex Vesia,2.19,2.17
