Date,Opp,Name,ERA,FIP
Sep 7,PHI,Aaron Nola,3.35,2.64
Sep 7,TOR,Kevin Gausman,3.12,2.17
Sep 7,SFG,Carlos Rodon,2.92,2.34
Sep 7,ATL,Max Fried,2.48,2.49
Sep 7,HOU,Justin Verlander,1.84,2.70
Sep 7,MIA,Sandy Alcantara,2.36,3.07
Sep 7,LAA,Shohei Ohtani,2.58,2.54
Sep 7,ATL,Spencer Strider,2.67,1.83
Sep 7,NYM,Max Scherzer,2.26,2.53
Sep 7,CLE,Shane Bieber,2.96,2.88
Sep 7,TBR,Shane McClanahan,2.20,2.64
Sep 7,CHW,Dylan Cease,2.13,3.02
Sep 7,PHI,Zack Wheeler,3.07,2.97
Sep 7,ARI,Merrill Kelly,2.94,3.28
Sep 7,SDP,Yu Darvish,3.26,3.27
Sep 7,HOU,Framber Valdez,2.69,3.16
Sep 7,ARI,Zac Gallen,2.42,3.08
Sep 7,MIL,Corbin Burnes,3.02,3.30
Sep 7,SFG,Logan Webb,2.89,3.19
Sep 7,TOR,Alek Manoah,2.48,3.35
Sep 7,TEX,Martin Perez,2.82,3.26
Sep 7,LAD,Tyler Anderson,2.73,3.41
Sep 7,NYY,Gerrit Cole,3.28,3.22
Sep 7,LAA,Patrick Sandoval,3.02,3.07
Sep 7,- - -,Luis Castillo,2.71,3.08
Sep 7,- - -,Jose Quintana,3.41,3.19
Sep 7,DET,Tarik Skubal,3.52,2.96
Sep 7,LAD,Julio Urias,2.29,3.61
Sep 7,SDP,Joe Musgrove,3.16,3.62
Sep 7,SFG,Alex Cobb,3.58,2.84
Sep 7,SEA,Logan Gilbert,3.23,3.48
Sep 7,STL,Adam Wainwright,3.21,3.54
Sep 7,SDP,Blake Snell,3.73,2.92
Sep 7,NYY,Nestor Cortes,2.68,3.40
Sep 7,CHC,Justin Steele,3.18,3.20
Sep 7,LAD,Clayton Kershaw,2.59,2.70
Sep 7,LAD,Tony Gonsolin,2.10,3.33
Sep 7,TBR,Corey Kluber,4.00,3.61
Sep 7,NYM,Chris Bassitt,3.32,3.51
Sep 7,- - -,Jordan Montgomery,3.15,3.52
Sep 7,TOR,Ross Stripling,3.03,3.04
Sep 7,STL,Miles Mikolas,3.32,3.85
Sep 7,NYM,Edwin Diaz,1.52,1.12
Sep 7,MIL,Brandon Woodruff,3.41,3.38
Sep 7,SEA,George Kirby,3.15,3.07
Sep 7,ATL,Kyle Wright,3.23,3.69
Sep 7,CLE,Triston McKenzie,3.18,3.93
Sep 7,TBR,Drew Rasmussen,2.70,3.23
Sep 7,PHI,Ranger Suarez,3.52,3.61
Sep 7,TBR,Jeffrey Springs,2.62,3.11
Sep 7,HOU,Cristian Javier,3.07,3.48
Sep 7,KCR,Brady Singer,3.38,3.70
Sep 7,MIA,Pablo Lopez,3.66,3.75
Sep 7,PIT,JT Brubaker,4.35,3.71
Sep 7,- - -,Tyler Mahle,4.40,3.87
Sep 7,- - -,Noah Syndergaard,4.07,3.71
Sep 7,MIN,Sonny Gray,3.10,3.42
Sep 7,- - -,Frankie Montas,3.79,3.62
Sep 7,SEA,Robbie Ray,3.45,3.87
Sep 7,CLE,Emmanuel Clase,1.09,1.88
Sep 7,CHW,Johnny Cueto,2.87,3.88
Sep 7,STL,Ryan Helsley,0.98,2.05
Sep 7,NYM,Carlos Carrasco,3.91,3.65
Sep 7,ATL,A.J. Minter,2.20,1.98
Sep 7,TEX,Jon Gray,3.83,3.48
Sep 7,BOS,Nick Pivetta,4.37,4.13
Sep 7,NYM,Taijuan Walker,3.60,3.81
Sep 7,BOS,Michael Wacha,2.58,3.62
Sep 7,HOU,Luis Garcia,3.99,3.93
Sep 7,MIL,Devin Williams,1.72,2.10
Sep 7,ATL,Charlie Morton,4.01,3.96
Sep 7,BOS,John Schreiber,2.11,2.19
Sep 7,PIT,Mitch Keller,4.22,3.93
Sep 7,COL,Kyle Freeland,4.75,4.51
Sep 7,BAL,Dean Kremer,3.22,3.38
Sep 7,CHW,Reynaldo Lopez,3.15,1.86
Sep 7,MIL,Freddy Peralta,3.56,3.07
Sep 7,SFG,Alex Wood,5.10,3.76
Sep 7,MIA,Jesus Luzardo,3.36,3.04
Sep 7,PHI,Kyle Gibson,4.48,4.21
Sep 7,NYY,Michael King,2.29,2.23
Sep 7,CHC,Marcus Stroman,3.73,3.72
Sep 7,NYM,Jacob deGrom,1.98,1.41
Sep 7,LAD,Evan Phillips,1.38,2.21
Sep 7,LAA,Reid Detmers,3.67,4.04
Sep 7,NYY,Jameson Taillon,3.95,4.14
Sep 7,OAK,Cole Irvin,3.78,4.01
Sep 7,- - -,Anthony Bass,1.35,2.46
