Date,Opp,Name,ERA,FIP
Sep 2,TOR,Kevin Gausman,3.14,2.12
Sep 2,MIA,Sandy Alcantara,2.13,2.85
Sep 2,PHI,Aaron Nola,3.43,2.71
Sep 2,SFG,Carlos Rodon,3.03,2.40
Sep 2,HOU,Justin Verlander,1.84,2.70
Sep 2,ATL,Max Fried,2.56,2.53
Sep 2,ATL,Spencer Strider,2.67,1.83
Sep 2,LAA,Shohei Ohtani,2.67,2.58
Sep 2,NYM,Max Scherzer,2.27,2.46
Sep 2,CLE,Shane Bieber,3.06,2.85
Sep 2,TBR,Shane McClanahan,2.20,2.64
Sep 2,ARI,Merrill Kelly,2.84,3.09
Sep 2,PHI,Zack Wheeler,3.07,2.97
Sep 2,CHW,Dylan Cease,2.27,3.07
Sep 2,MIL,Corbin Burnes,2.84,3.23
Sep 2,LAD,Tyler Anderson,2.68,3.29
Sep 2,SDP,Yu Darvish,3.41,3.32
Sep 2,SFG,Logan Webb,2.89,3.19
Sep 2,HOU,Framber Valdez,2.63,3.22
Sep 2,NYY,Gerrit Cole,3.28,3.22
Sep 2,ARI,Zac Gallen,2.53,3.15
Sep 2,LAA,Patrick Sandoval,3.02,3.07
Sep 2,SDP,Joe Musgrove,3.01,3.37
Sep 2,TEX,Martin Perez,2.89,3.31
Sep 2,TOR,Alek Manoah,2.60,3.41
Sep 2,- - -,Luis Castillo,2.85,3.10
Sep 2,DET,Tarik Skubal,3.52,2.96
Sep 2,LAD,Julio Urias,2.32,3.51
Sep 2,- - -,Jose Quintana,3.47,3.27
Sep 2,ATL,Kyle Wright,2.85,3.49
Sep 2,STL,Adam Wainwright,3.09,3.54
Sep 2,NYY,Nestor Cortes,2.68,3.40
Sep 2,CHC,Justin Steele,3.18,3.20
Sep 2,LAD,Clayton Kershaw,2.59,2.70
Sep 2,LAD,Tony Gonsolin,2.10,3.33
Sep 2,SFG,Alex Cobb,3.81,2.92
Sep 2,NYM,Chris Bassitt,3.32,3.51
Sep 2,NYM,Edwin Diaz,1.52,1.12
Sep 2,TOR,Ross Stripling,2.94,2.94
Sep 2,SEA,Logan Gilbert,3.35,3.59
Sep 2,MIL,Brandon Woodruff,3.54,3.32
Sep 2,- - -,Jordan Montgomery,3.28,3.55
Sep 2,TBR,Drew Rasmussen,2.70,3.23
Sep 2,TBR,Corey Kluber,4.21,3.70
Sep 2,SDP,Blake Snell,3.87,3.09
Sep 2,CLE,Triston McKenzie,3.18,3.90
Sep 2,STL,Miles Mikolas,3.48,3.90
Sep 2,SEA,George Kirby,3.16,3.10
Sep 2,- - -,Tyler Mahle,4.17,3.77
Sep 2,HOU,Cristian Javier,3.07,3.48
Sep 2,PHI,Ranger Suarez,3.42,3.64
Sep 2,KCR,Brady Singer,3.33,3.61
Sep 2,PIT,JT Brubaker,4.39,3.64
Sep 2,MIA,Pablo Lopez,3.64,3.75
Sep 2,TBR,Jeffrey Springs,2.76,3.16
Sep 2,STL,Ryan Helsley,1.01,1.97
Sep 2,MIN,Sonny Gray,3.04,3.41
Sep 2,CLE,Emmanuel Clase,1.15,1.83
Sep 2,- - -,Noah Syndergaard,3.98,3.76
Sep 2,PHI,Kyle Gibson,4.08,4.08
Sep 2,CHW,Johnny Cueto,2.93,3.87
Sep 2,SEA,Robbie Ray,3.58,3.92
Sep 2,NYM,Taijuan Walker,3.45,3.73
Sep 2,NYM,Carlos Carrasco,3.92,3.64
Sep 2,CHW,Reynaldo Lopez,2.98,1.59
Sep 2,- - -,Frankie Montas,3.94,3.75
Sep 2,TEX,Jon Gray,3.83,3.48
Sep 2,BOS,Nick Pivetta,4.40,4.14
Sep 2,BOS,Garrett Whitlock,3.19,2.92
Sep 2,MIL,Freddy Peralta,3.56,3.07
Sep 2,ATL,Charlie Morton,4.10,3.96
Sep 2,SFG,Alex Wood,5.10,3.76
Sep 2,MIL,Devin Williams,1.80,2.07
Sep 2,COL,Kyle Freeland,4.88,4.49
Sep 2,NYY,Michael King,2.29,2.23
Sep 2,ATL,A.J. Minter,2.28,2.08
Sep 2,PIT,Mitch Keller,4.43,3.93
Sep 2,OAK,Cole Irvin,3.35,3.92
Sep 2,NYM,Jacob deGrom,1.98,1.41
Sep 2,LAD,Evan Phillips,1.22,2.18
Sep 2,NYY,Jameson Taillon,3.97,4.08
Sep 2,BOS,John Schreiber,2.18,2.27
Sep 2,HOU,Luis Garcia,4.14,4.04
Sep 2,BAL,Jordan Lyles,4.25,4.27
Sep 2,MIA,Jesus Luzardo,3.44,3.02
Sep 2,BOS,Michael Wacha,2.56,3.80
Sep 2,- - -,Taylor Rogers,4.27,2.52
Sep 2,CLE,Trevor Stephan,2.32,1.94
Sep 2,SEA,Andres Munoz,2.89,2.13
Sep 2,BAL,Dean Kremer,3.24,3.51
Sep 2,PHI,Seranthony Dominguez,1.64,2.27
Sep 2,CLE,Cal Quantrill,3.50,4.27
Sep 2,COL,Antonio Senzatela,5.07,4.05
Sep 2,CIN,Graham Ashcraft,3.97,3.93
Sep 2,HOU,Hector Neris,3.48,2.32
Sep 2,- - -,Anthony Bass,1.42,2.53
Sep 2,SEA,Erik Swanson,0.84,1.76
Sep 2,TBR,Jason Adam,1.18,2.51
Sep 2,LAA,Reid Detmers,3.47,4.13
Sep 2,CHC,Marcus Stroman,3.98,3.86
Sep 2,COL,German Marquez,4.97,4.58
Sep 2,DET,Joe Jimenez,3.16,1.85
Sep 2,- - -,Scott Effross,2.75,2.39
Sep 2,PIT,David Bednar,2.70,2.49
Sep 2,MIN,Joe Ryan,3.88,4.27
Sep 2,CHC,Drew Smyly,3.24,4.03
Sep 2,TBR,Brooks Raley,2.22,2.08
Sep 2,SDP,Sean Manaea,4.90,4.37
Sep 2,HOU,Ryan Pressly,3.11,2.08
Sep 2,MIA,Braxton Garrett,3.67,3.46
Sep 2,SDP,Luis Garcia,3.35,2.74
Sep 2,KCR,Zack Greinke,4.14,4.27
Sep 2,BAL,Felix Bautista,1.53,2.93
Sep 2,NYM,David Peterson,3.21,3.67
Sep 2,COL,Daniel Bard,2.28,3.24
Sep 2,BOS,Rich Hill,4.52,4.04
Sep 2,LAA,Jimmy Herget,2.70,2.92
Sep 2,ARI,Joe Mantiply,2.77,2.52
Sep 2,CHW,Lucas Giolito,5.27,4.28
Sep 2,- - -,Mitch White,4.67,3.83
Sep 2,STL,Giovanny Gallegos,2.94,2.83
Sep 2,MIN,Caleb Thielbar,3.80,2.67
Sep 2,HOU,Rafael Montero,2.63,2.73
Sep 2,TEX,Brock Burke,1.57,2.95
