,Date,Team,Loc,Opp,WL,RS,RA,Name,ERA,FIP
960,Sep 16,brewers,vs,WSN,,,,,5.412842655433341,4.874726837766857
961,Sep 17,brewers,vs,WSN,,,,,5.412842655433341,4.874726837766857
962,Sep 18,brewers,at,STL,,,,,5.412842655433341,4.874726837766857
963,Sep 19,brewers,at,STL,,,,,5.412842655433341,4.874726837766857
964,Sep 20,brewers,at,STL,,,,,5.412842655433341,4.874726837766857
965,Sep 21,brewers,at,STL,,,,,5.412842655433341,4.874726837766857
966,Sep 22,brewers,at,MIA,,,,,5.412842655433341,4.874726837766857
967,Sep 23,brewers,at,MIA,,,,,5.412842655433341,4.874726837766857
968,Sep 24,brewers,at,MIA,,,,,5.412842655433341,4.874726837766857
969,Sep 26,brewers,vs,STL,,,,,5.412842655433341,4.874726837766857
970,Sep 27,brewers,vs,STL,,,,,5.412842655433341,4.874726837766857
971,Sep 28,brewers,vs,STL,,,,,5.412842655433341,4.874726837766857
972,Sep 29,brewers,vs,CHC,,,,,5.412842655433341,4.874726837766857
973,Sep 30,brewers,vs,CHC,,,,,5.412842655433341,4.874726837766857
974,Oct 1,brewers,vs,CHC,,,,,5.412842655433341,4.874726837766857
975,na,na,na,na,na,na,na,na,5.412842655433341,4.874726837766857
976,Mar 30,cardinals,vs,TOR,L,9,10,Alek Manoah,5.412842655433341,4.874726837766857
977,Apr 1,cardinals,vs,TOR,W,4,1,Kevin Gausman,5.412842655433341,4.874726837766857
978,Apr 2,cardinals,vs,TOR,W,9,4,Chris Bassitt,5.412842655433341,4.874726837766857
979,Apr 3,cardinals,vs,ATL,L,4,8,Charlie Morton,5.412842655433341,4.874726837766857
980,Apr 4,cardinals,vs,ATL,L,1,4,Dylan Dodd,5.412842655433341,4.874726837766857
981,Apr 5,cardinals,vs,ATL,L,2,5,Bryce Elder,5.412842655433341,4.874726837766857
982,Apr 7,cardinals,at,MIL,L,0,4,Brandon Woodruff,1.5,3.28
983,Apr 8,cardinals,at,MIL,W,6,0,Eric Lauer,3.38,4.6
984,Apr 9,cardinals,at,MIL,L,1,6,Freddy Peralta,0.0,2.45
985,Apr 10,cardinals,at,COL,L,4,7,German Marquez,4.76,5.67
986,Apr 11,cardinals,at,COL,W,9,6,Kyle Freeland,0.0,3.05
987,Apr 12,cardinals,at,COL,W,7,4,Jose Urena,14.4,14.88
988,Apr 13,cardinals,vs,PIT,L,0,5,Vince Velasquez,9.82,7.78
989,Apr 14,cardinals,vs,PIT,W,3,0,Johan Oviedo,3.18,6.2
990,Apr 15,cardinals,vs,PIT,L,3,6,Roansy Contreras,8.0,4.17
991,Apr 16,cardinals,vs,PIT,W,5,4,Mitch Keller,3.57,4.36
992,Apr 17,cardinals,vs,ARI,L,3,6,Merrill Kelly,2.93,4.72
993,Apr 18,cardinals,vs,ARI,L,7,8,Drey Jameson,1.46,4.66
994,Apr 19,cardinals,vs,ARI,W,14,5,Madison Bumgarner,7.9,7.6
995,Apr 21,cardinals,at,SEA,L,2,5,George Kirby,3.78,2.98
996,Apr 22,cardinals,at,SEA,L,4,5,Luis Castillo,0.73,1.66
997,Apr 23,cardinals,at,SEA,W,7,3,Chris Flexen,7.79,5.65
998,Apr 24,cardinals,at,SFG,L,0,4,Alex Cobb,2.79,2.82
999,Apr 25,cardinals,at,SFG,L,4,5,John Brebbia,5.63,2.66
1000,Apr 26,cardinals,at,SFG,L,3,7,Anthony DeSclafani,2.63,2.87
1001,Apr 27,cardinals,at,SFG,W,6,0,Logan Webb,4.4,3.97
1002,Apr 28,cardinals,at,LAD,L,3,7,Dustin May,3.07,3.66
1003,Apr 29,cardinals,at,LAD,L,0,1,Clayton Kershaw,2.32,3.48
1004,Apr 30,cardinals,at,LAD,L,3,6,Noah Syndergaard,6.58,4.98
1005,May 2,cardinals,vs,LAA,L,1,5,Patrick Sandoval,3.16,4.26
1006,May 3,cardinals,vs,LAA,L,4,6,Shohei Ohtani,1.85,3.37
1007,May 4,cardinals,vs,LAA,L,7,11,Griffin Canning,4.11,4.2
1008,May 5,cardinals,vs,DET,L,4,5,Matthew Boyd,5.47,4.95
1009,May 6,cardinals,vs,DET,L,5,6,Spencer Turnbull,6.84,5.33
1010,May 7,cardinals,vs,DET,W,12,6,Alex Faedo,5.412842655433341,4.874726837766857
1011,May 8,cardinals,at,CHC,W,3,1,Marcus Stroman,2.18,3.62
1012,May 9,cardinals,at,CHC,W,6,4,Jameson Taillon,5.29,2.4
1013,May 10,cardinals,at,CHC,L,4,10,Justin Steele,1.45,3.12
1014,May 12,cardinals,at,BOS,W,8,6,James Paxton,5.412842655433341,4.874726837766857
1015,May 13,cardinals,at,BOS,W,4,3,Chris Sale,6.37,3.94
1016,May 14,cardinals,at,BOS,W,9,1,Corey Kluber,6.29,6.37
1017,May 15,cardinals,vs,MIL,W,18,1,Freddy Peralta,3.32,3.41
1018,May 16,cardinals,vs,MIL,L,2,3,Wade Miley,3.6,4.46
1019,May 17,cardinals,vs,MIL,W,3,0,Corbin Burnes,3.35,4.09
1020,May 18,cardinals,vs,LAD,W,16,8,Julio Urias,3.61,4.35
1021,May 19,cardinals,vs,LAD,L,0,5,Tony Gonsolin,1.42,4.07
1022,May 20,cardinals,vs,LAD,W,6,5,Noah Syndergaard,5.94,4.66
1023,May 21,cardinals,vs,LAD,W,10,5,Clayton Kershaw,2.52,3.36
1024,May 22,cardinals,at,CIN,L,5,6,Brandon Williamson,1.59,4.52
1025,May 23,cardinals,at,CIN,W,8,5,Graham Ashcraft,4.84,4.24
1026,May 24,cardinals,at,CIN,L,3,10,Ben Lively,2.45,2.92
1027,May 25,cardinals,at,CIN,W,2,1,Luke Weaver,6.54,5.87
1028,May 26,cardinals,at,CLE,L,3,4,Shane Bieber,3.08,3.98
1029,May 27,cardinals,at,CLE,W,2,1,Tanner Bibee,3.18,3.04
1030,May 28,cardinals,at,CLE,L,3,4,Hunter Gaddis,5.26,3.63
1031,May 29,cardinals,vs,KCR,L,0,7,Josh Staumont,4.76,2.93
1032,May 30,cardinals,vs,KCR,W,2,1,Zack Greinke,4.55,4.59
1033,Jun 2,cardinals,at,PIT,L,5,7,Roansy Contreras,4.33,4.53
1034,Jun 3,cardinals,at,PIT,L,3,4,Luis L. Ortiz,5.412842655433341,4.874726837766857
1035,Jun 4,cardinals,at,PIT,L,1,2,Rich Hill,4.76,4.32
1036,Jun 5,cardinals,at,TEX,L,3,4,Martin Perez,4.43,5.01
1037,Jun 6,cardinals,at,TEX,L,4,6,Dane Dunning,2.06,2.83
1038,Jun 7,cardinals,at,TEX,W,1,0,Jon Gray,2.51,4.43
1039,Jun 9,cardinals,vs,CIN,W,7,4,Ben Lively,3.03,4.33
1040,Jun 10,cardinals,vs,CIN,L,4,8,Andrew Abbott,0.0,3.28
1041,Jun 11,cardinals,vs,CIN,L,3,4,Hunter Greene,3.92,3.47
1042,Jun 12,cardinals,vs,SFG,L,3,4,Logan Webb,5.412842655433341,4.874726837766857
1043,Jun 13,cardinals,vs,SFG,L,3,11,Alex Cobb,5.412842655433341,4.874726837766857
1044,Jun 14,cardinals,vs,SFG,L,5,8,Anthony DeSclafani,5.412842655433341,4.874726837766857
1045,Jun 16,cardinals,at,NYM,L,1,6,Tylor Megill,5.412842655433341,4.874726837766857
1046,Jun 17,cardinals,at,NYM,W,5,3,Kodai Senga,5.412842655433341,4.874726837766857
1047,Jun 18,cardinals,at,NYM,W,8,7,Carlos Carrasco,5.412842655433341,4.874726837766857
1048,Jun 19,cardinals,at,WSN,W,8,6,Josiah Gray,5.412842655433341,4.874726837766857
1049,Jun 20,cardinals,at,WSN,W,9,3,MacKenzie Gore,5.412842655433341,4.874726837766857
1050,Jun 21,cardinals,at,WSN,L,0,3,Trevor Williams,5.412842655433341,4.874726837766857
1051,Jun 24,cardinals,vs,CHC,L,1,9,Justin Steele,5.412842655433341,4.874726837766857
1052,Jun 25,cardinals,vs,CHC,W,7,5,Marcus Stroman,5.412842655433341,4.874726837766857
1053,Jun 27,cardinals,vs,HOU,W,4,2,Framber Valdez,5.412842655433341,4.874726837766857
1054,Jun 28,cardinals,vs,HOU,L,7,10,Cristian Javier,5.412842655433341,4.874726837766857
1055,Jun 29,cardinals,vs,HOU,L,0,14,J.P. France,5.412842655433341,4.874726837766857
1056,Jul 1,cardinals,vs,NYY,W,11,4,Luis Severino,5.412842655433341,4.874726837766857
1057,Jul 1,cardinals,vs,NYY,L,2,6,Ian Hamilton,5.412842655433341,4.874726837766857
1058,Jul 2,cardinals,vs,NYY,W,5,1,Gerrit Cole,5.412842655433341,4.874726837766857
1059,Jul 3,cardinals,at,MIA,L,4,5,Braxton Garrett,5.412842655433341,4.874726837766857
1060,Jul 4,cardinals,at,MIA,L,2,15,Jesus Luzardo,5.412842655433341,4.874726837766857
1061,Jul 5,cardinals,at,MIA,L,9,10,Bryan Hoeing,5.412842655433341,4.874726837766857
1062,Jul 6,cardinals,at,MIA,W,3,0,Eury Perez,5.412842655433341,4.874726837766857
1063,Jul 7,cardinals,at,CHW,L,7,8,Dylan Cease,5.412842655433341,4.874726837766857
1064,Jul 8,cardinals,at,CHW,W,3,0,Touki Toussaint,5.412842655433341,4.874726837766857
1065,Jul 9,cardinals,at,CHW,,,,Lucas Giolito,5.412842655433341,4.874726837766857
1066,Jul 14,cardinals,vs,WSN,,,,MacKenzie Gore,5.412842655433341,4.874726837766857
1067,Jul 15,cardinals,vs,WSN,,,,Patrick Corbin,5.412842655433341,4.874726837766857
1068,Jul 16,cardinals,vs,WSN,,,,Josiah Gray,5.412842655433341,4.874726837766857
1069,Jul 17,cardinals,vs,MIA,,,,Bryan Hoeing,5.412842655433341,4.874726837766857
1070,Jul 18,cardinals,vs,MIA,,,,Johnny Cueto,5.412842655433341,4.874726837766857
1071,Jul 19,cardinals,vs,MIA,,,,Sandy Alcantara,5.412842655433341,4.874726837766857
1072,Jul 20,cardinals,at,CHC,,,,Drew Smyly,5.412842655433341,4.874726837766857
1073,Jul 21,cardinals,at,CHC,,,,Marcus Stroman,5.412842655433341,4.874726837766857
1074,Jul 22,cardinals,at,CHC,,,,Justin Steele,5.412842655433341,4.874726837766857
1075,Jul 23,cardinals,at,CHC,,,,,5.412842655433341,4.874726837766857
1076,Jul 24,cardinals,at,ARI,,,,,5.412842655433341,4.874726837766857
1077,Jul 25,cardinals,at,ARI,,,,,5.412842655433341,4.874726837766857
1078,Jul 26,cardinals,at,ARI,,,,,5.412842655433341,4.874726837766857
1079,Jul 27,cardinals,vs,CHC,,,,,5.412842655433341,4.874726837766857
1080,Jul 28,cardinals,vs,CHC,,,,,5.412842655433341,4.874726837766857
1081,Jul 29,cardinals,vs,CHC,,,,,5.412842655433341,4.874726837766857
1082,Jul 30,cardinals,vs,CHC,,,,,5.412842655433341,4.874726837766857
1083,Aug 1,cardinals,vs,MIN,,,,,5.412842655433341,4.874726837766857
1084,Aug 2,cardinals,vs,MIN,,,,,5.412842655433341,4.874726837766857
1085,Aug 3,cardinals,vs,MIN,,,,,5.412842655433341,4.874726837766857
1086,Aug 4,cardinals,vs,COL,,,,,5.412842655433341,4.874726837766857
1087,Aug 5,cardinals,vs,COL,,,,,5.412842655433341,4.874726837766857
1088,Aug 6,cardinals,vs,COL,,,,,5.412842655433341,4.874726837766857
1089,Aug 8,cardinals,at,TBR,,,,,5.412842655433341,4.874726837766857
1090,Aug 9,cardinals,at,TBR,,,,,5.412842655433341,4.874726837766857
1091,Aug 10,cardinals,at,TBR,,,,,5.412842655433341,4.874726837766857
1092,Aug 11,cardinals,at,KCR,,,,,5.412842655433341,4.874726837766857
1093,Aug 12,cardinals,at,KCR,,,,,5.412842655433341,4.874726837766857
1094,Aug 14,cardinals,vs,OAK,,,,,5.412842655433341,4.874726837766857
1095,Aug 15,cardinals,vs,OAK,,,,,5.412842655433341,4.874726837766857
1096,Aug 16,cardinals,vs,OAK,,,,,5.412842655433341,4.874726837766857
1097,Aug 17,cardinals,vs,NYM,,,,,5.412842655433341,4.874726837766857
1098,Aug 18,cardinals,vs,NYM,,,,,5.412842655433341,4.874726837766857
1099,Aug 19,cardinals,vs,NYM,,,,,5.412842655433341,4.874726837766857
1100,Aug 20,cardinals,vs,NYM,,,,,5.412842655433341,4.874726837766857
1101,Aug 21,cardinals,at,PIT,,,,,5.412842655433341,4.874726837766857
1102,Aug 22,cardinals,at,PIT,,,,,5.412842655433341,4.874726837766857
1103,Aug 23,cardinals,at,PIT,,,,,5.412842655433341,4.874726837766857
1104,Aug 25,cardinals,at,PHI,,,,,5.412842655433341,4.874726837766857
1105,Aug 26,cardinals,at,PHI,,,,,5.412842655433341,4.874726837766857
1106,Aug 27,cardinals,at,PHI,,,,,5.412842655433341,4.874726837766857
1107,Aug 28,cardinals,vs,SDP,,,,,5.412842655433341,4.874726837766857
1108,Aug 29,cardinals,vs,SDP,,,,,5.412842655433341,4.874726837766857
1109,Aug 30,cardinals,vs,SDP,,,,,5.412842655433341,4.874726837766857
1110,Sep 1,cardinals,vs,PIT,,,,,5.412842655433341,4.874726837766857
1111,Sep 2,cardinals,vs,PIT,,,,,5.412842655433341,4.874726837766857
1112,Sep 3,cardinals,vs,PIT,,,,,5.412842655433341,4.874726837766857
1113,Sep 5,cardinals,at,ATL,,,,,5.412842655433341,4.874726837766857
1114,Sep 6,cardinals,at,ATL,,,,,5.412842655433341,4.874726837766857
1115,Sep 7,cardinals,at,ATL,,,,,5.412842655433341,4.874726837766857
1116,Sep 8,cardinals,at,CIN,,,,,5.412842655433341,4.874726837766857
1117,Sep 9,cardinals,at,CIN,,,,,5.412842655433341,4.874726837766857
1118,Sep 10,cardinals,at,CIN,,,,,5.412842655433341,4.874726837766857
1119,Sep 11,cardinals,at,BAL,,,,,5.412842655433341,4.874726837766857
1120,Sep 12,cardinals,at,BAL,,,,,5.412842655433341,4.874726837766857
1121,Sep 13,cardinals,at,BAL,,,,,5.412842655433341,4.874726837766857
1122,Sep 15,cardinals,vs,PHI,,,,,5.412842655433341,4.874726837766857
1123,Sep 16,cardinals,vs,PHI,,,,,5.412842655433341,4.874726837766857
1124,Sep 17,cardinals,vs,PHI,,,,,5.412842655433341,4.874726837766857
1125,Sep 18,cardinals,vs,MIL,,,,,5.412842655433341,4.874726837766857
1126,Sep 19,cardinals,vs,MIL,,,,,5.412842655433341,4.874726837766857
1127,Sep 20,cardinals,vs,MIL,,,,,5.412842655433341,4.874726837766857
1128,Sep 21,cardinals,vs,MIL,,,,,5.412842655433341,4.874726837766857
1129,Sep 22,cardinals,at,SDP,,,,,5.412842655433341,4.874726837766857
1130,Sep 23,cardinals,at,SDP,,,,,5.412842655433341,4.874726837766857
1131,Sep 24,cardinals,at,SDP,,,,,5.412842655433341,4.874726837766857
1132,Sep 26,cardinals,at,MIL,,,,,5.412842655433341,4.874726837766857
1133,Sep 27,cardinals,at,MIL,,,,,5.412842655433341,4.874726837766857
1134,Sep 28,cardinals,at,MIL,,,,,5.412842655433341,4.874726837766857
1135,Sep 29,cardinals,vs,CIN,,,,,5.412842655433341,4.874726837766857
1136,Sep 30,cardinals,vs,CIN,,,,,5.412842655433341,4.874726837766857
1137,Oct 1,cardinals,vs,CIN,,,,,5.412842655433341,4.874726837766857
1138,na,na,na,na,na,na,na,na,5.412842655433341,4.874726837766857
1139,Mar 30,cubs,vs,MIL,W,4,0,Corbin Burnes,5.412842655433341,4.874726837766857
1140,Apr 1,cubs,vs,MIL,L,1,3,Brandon Woodruff,5.412842655433341,4.874726837766857
1141,Apr 2,cubs,vs,MIL,L,5,9,Eric Lauer,5.412842655433341,4.874726837766857
1142,Apr 3,cubs,at,CIN,L,6,7,Connor Overton,5.412842655433341,4.874726837766857
1143,Apr 4,cubs,at,CIN,W,12,5,Luis Cessa,5.412842655433341,4.874726837766857
1144,Apr 7,cubs,vs,TEX,W,2,0,Nathan Eovaldi,5.4,2.08
1145,Apr 8,cubs,vs,TEX,W,10,3,Martin Perez,1.59,2.4
1146,Apr 9,cubs,vs,TEX,L,2,8,Jon Gray,2.84,6.13
1147,Apr 10,cubs,vs,SEA,W,3,2,Luis Castillo,0.0,1.74
1148,Apr 11,cubs,vs,SEA,W,14,9,Chris Flexen,3.0,5.28
1149,Apr 12,cubs,vs,SEA,L,2,5,Logan Gilbert,3.6,2.88
1150,Apr 14,cubs,at,LAD,W,8,2,Noah Syndergaard,6.3,4.88
1151,Apr 15,cubs,at,LAD,L,1,2,Michael Grove,14.73,2.33
1152,Apr 16,cubs,at,LAD,W,3,2,Julio Urias,1.5,2.28
1153,Apr 17,cubs,at,OAK,W,10,1,Kyle Muller,5.52,4.31
1154,Apr 18,cubs,at,OAK,W,4,0,Ken Waldichuk,10.2,9.48
1155,Apr 19,cubs,at,OAK,W,12,2,Mason Miller,5.412842655433341,4.874726837766857
1156,Apr 20,cubs,vs,LAD,L,2,6,Michael Grove,9.0,3.28
1157,Apr 21,cubs,vs,LAD,W,13,0,Julio Urias,1.9,3.24
1158,Apr 22,cubs,vs,LAD,L,4,9,Dustin May,3.0,3.74
1159,Apr 23,cubs,vs,LAD,L,3,7,Clayton Kershaw,2.52,3.36
1160,Apr 25,cubs,vs,SDP,W,6,0,Blake Snell,6.0,6.01
1161,Apr 26,cubs,vs,SDP,L,3,5,Michael Wacha,7.08,4.32
1162,Apr 27,cubs,vs,SDP,W,5,2,Seth Lugo,2.78,2.75
1163,Apr 28,cubs,at,MIA,L,2,3,Jesus Luzardo,3.62,3.47
1164,Apr 29,cubs,at,MIA,L,6,7,Edward Cabrera,4.91,5.6
1165,Apr 30,cubs,at,MIA,L,3,4,Bryan Hoeing,9.82,3.83
1166,May 1,cubs,at,WSN,W,5,1,MacKenzie Gore,3.0,3.43
1167,May 2,cubs,at,WSN,L,1,4,Trevor Williams,4.1,4.77
1168,May 3,cubs,at,WSN,L,1,2,Jake Irvin,5.412842655433341,4.874726837766857
1169,May 4,cubs,at,WSN,L,3,4,Patrick Corbin,5.74,5.29
1170,May 5,cubs,vs,MIA,W,4,1,Edward Cabrera,4.67,5.32
1171,May 6,cubs,vs,MIA,W,4,2,Matt Barnes,3.86,3.93
1172,May 7,cubs,vs,MIA,L,4,5,Sandy Alcantara,5.09,4.19
1173,May 8,cubs,vs,STL,L,1,3,Miles Mikolas,5.79,4.86
1174,May 9,cubs,vs,STL,L,4,6,Jack Flaherty,6.29,5.35
1175,May 10,cubs,vs,STL,W,10,4,Jordan Montgomery,3.29,2.8
1176,May 12,cubs,at,MIN,W,6,2,Sonny Gray,1.35,2.06
1177,May 13,cubs,at,MIN,L,1,11,Joe Ryan,2.45,2.81
1178,May 14,cubs,at,MIN,L,3,16,Louie Varland,4.32,4.9
1179,May 15,cubs,at,HOU,L,4,6,Framber Valdez,2.38,3.04
1180,May 16,cubs,at,HOU,L,3,7,Cristian Javier,3.47,3.35
1181,May 17,cubs,at,HOU,L,6,7,J.P. France,0.77,3.8
1182,May 19,cubs,at,PHI,W,10,1,Ranger Suarez,6.75,2.03
1183,May 20,cubs,at,PHI,L,3,12,Aaron Nola,4.53,4.07
1184,May 21,cubs,at,PHI,L,1,2,Taijuan Walker,6.53,5.29
1185,May 23,cubs,vs,NYM,W,7,2,Tylor Megill,3.88,5.14
1186,May 24,cubs,vs,NYM,W,4,2,Kodai Senga,3.77,4.35
1187,May 25,cubs,vs,NYM,L,1,10,Carlos Carrasco,8.68,6.98
1188,May 26,cubs,vs,CIN,L,0,9,Hunter Greene,4.68,3.98
1189,May 27,cubs,vs,CIN,L,5,8,Brandon Williamson,3.6,5.88
1190,May 28,cubs,vs,CIN,L,5,8,Graham Ashcraft,5.57,4.5
1191,May 29,cubs,vs,TBR,W,1,0,Taj Bradley,4.44,3.24
1192,May 30,cubs,vs,TBR,W,2,1,Shane McClanahan,1.97,3.33
1193,May 31,cubs,vs,TBR,L,3,4,Zach Eflin,3.17,3.73
1194,Jun 2,cubs,at,SDP,W,2,1,Michael Wacha,3.45,3.55
1195,Jun 3,cubs,at,SDP,L,0,6,Yu Darvish,4.61,4.15
1196,Jun 4,cubs,at,SDP,W,7,1,Ryan Weathers,4.28,4.47
1197,Jun 5,cubs,at,SDP,L,0,5,Blake Snell,4.5,5.07
1198,Jun 6,cubs,at,LAA,L,4,7,Tyler Anderson,5.47,5.35
1199,Jun 7,cubs,at,LAA,L,2,6,Jaime Barria,1.59,3.11
1200,Jun 8,cubs,at,LAA,L,1,3,Reid Detmers,5.15,3.62
1201,Jun 9,cubs,at,SFG,W,3,2,Anthony DeSclafani,3.97,3.77
1202,Jun 10,cubs,at,SFG,W,4,0,John Brebbia,3.65,2.63
1203,Jun 11,cubs,at,SFG,L,3,13,John Brebbia,3.65,2.63
1204,Jun 13,cubs,vs,PIT,W,11,3,Luis L. Ortiz,5.412842655433341,4.874726837766857
1205,Jun 14,cubs,vs,PIT,W,10,6,Osvaldo Bido,5.412842655433341,4.874726837766857
1206,Jun 15,cubs,vs,PIT,W,7,2,Johan Oviedo,5.412842655433341,4.874726837766857
1207,Jun 16,cubs,vs,BAL,W,10,3,Cole Irvin,5.412842655433341,4.874726837766857
1208,Jun 17,cubs,vs,BAL,W,3,2,Kyle Gibson,5.412842655433341,4.874726837766857
1209,Jun 18,cubs,vs,BAL,L,3,6,Dean Kremer,5.412842655433341,4.874726837766857
1210,Jun 19,cubs,at,PIT,W,8,0,Osvaldo Bido,5.412842655433341,4.874726837766857
1211,Jun 20,cubs,at,PIT,W,4,0,Johan Oviedo,5.412842655433341,4.874726837766857
1212,Jun 21,cubs,at,PIT,W,8,3,Rich Hill,5.412842655433341,4.874726837766857
1213,Jun 24,cubs,at,STL,W,9,1,Adam Wainwright,5.412842655433341,4.874726837766857
1214,Jun 25,cubs,at,STL,L,5,7,Matthew Liberatore,5.412842655433341,4.874726837766857
1215,Jun 27,cubs,vs,PHI,L,1,5,Ranger Suarez,5.412842655433341,4.874726837766857
1216,Jun 28,cubs,vs,PHI,L,5,8,Aaron Nola,5.412842655433341,4.874726837766857
1217,Jun 29,cubs,vs,PHI,L,1,3,Taijuan Walker,5.412842655433341,4.874726837766857
1218,Jun 30,cubs,vs,CLE,W,10,1,Cal Quantrill,5.412842655433341,4.874726837766857
1219,Jul 1,cubs,vs,CLE,L,0,6,Tanner Bibee,5.412842655433341,4.874726837766857
1220,Jul 2,cubs,vs,CLE,L,6,8,Aaron Civale,5.412842655433341,4.874726837766857
1221,Jul 3,cubs,at,MIL,L,6,8,Julio Teheran,5.412842655433341,4.874726837766857
1222,Jul 4,cubs,at,MIL,W,7,6,Wade Miley,5.412842655433341,4.874726837766857
1223,Jul 5,cubs,at,MIL,W,4,3,Adrian Houser,5.412842655433341,4.874726837766857
1224,Jul 6,cubs,at,MIL,L,5,6,Freddy Peralta,5.412842655433341,4.874726837766857
1225,Jul 7,cubs,at,NYY,W,3,0,Carlos Rodon,5.412842655433341,4.874726837766857
1226,Jul 8,cubs,at,NYY,L,3,6,Gerrit Cole,5.412842655433341,4.874726837766857
1227,Jul 9,cubs,at,NYY,,,,Domingo German,5.412842655433341,4.874726837766857
1228,Jul 14,cubs,vs,BOS,,,,James Paxton,5.412842655433341,4.874726837766857
1229,Jul 15,cubs,vs,BOS,,,,Brayan Bello,5.412842655433341,4.874726837766857
1230,Jul 16,cubs,vs,BOS,,,,Kutter Crawford,5.412842655433341,4.874726837766857
1231,Jul 17,cubs,vs,WSN,,,,Trevor Williams,5.412842655433341,4.874726837766857
1232,Jul 18,cubs,vs,WSN,,,,Jake Irvin,5.412842655433341,4.874726837766857
1233,Jul 19,cubs,vs,WSN,,,,MacKenzie Gore,5.412842655433341,4.874726837766857
1234,Jul 20,cubs,vs,STL,,,,Jordan Montgomery,5.412842655433341,4.874726837766857
1235,Jul 21,cubs,vs,STL,,,,Miles Mikolas,5.412842655433341,4.874726837766857
1236,Jul 22,cubs,vs,STL,,,,Steven Matz,5.412842655433341,4.874726837766857
1237,Jul 23,cubs,vs,STL,,,,,5.412842655433341,4.874726837766857
1238,Jul 25,cubs,at,CHW,,,,,5.412842655433341,4.874726837766857
1239,Jul 26,cubs,at,CHW,,,,,5.412842655433341,4.874726837766857
1240,Jul 27,cubs,at,STL,,,,,5.412842655433341,4.874726837766857
1241,Jul 28,cubs,at,STL,,,,,5.412842655433341,4.874726837766857
1242,Jul 29,cubs,at,STL,,,,,5.412842655433341,4.874726837766857
1243,Jul 30,cubs,at,STL,,,,,5.412842655433341,4.874726837766857
1244,Jul 31,cubs,vs,CIN,,,,,5.412842655433341,4.874726837766857
1245,Aug 1,cubs,vs,CIN,,,,,5.412842655433341,4.874726837766857
1246,Aug 2,cubs,vs,CIN,,,,,5.412842655433341,4.874726837766857
1247,Aug 3,cubs,vs,CIN,,,,,5.412842655433341,4.874726837766857
1248,Aug 4,cubs,vs,ATL,,,,,5.412842655433341,4.874726837766857
1249,Aug 5,cubs,vs,ATL,,,,,5.412842655433341,4.874726837766857
1250,Aug 6,cubs,vs,ATL,,,,,5.412842655433341,4.874726837766857
1251,Aug 7,cubs,at,NYM,,,,,5.412842655433341,4.874726837766857
1252,Aug 8,cubs,at,NYM,,,,,5.412842655433341,4.874726837766857
1253,Aug 9,cubs,at,NYM,,,,,5.412842655433341,4.874726837766857
1254,Aug 11,cubs,at,TOR,,,,,5.412842655433341,4.874726837766857
1255,Aug 12,cubs,at,TOR,,,,,5.412842655433341,4.874726837766857
1256,Aug 13,cubs,at,TOR,,,,,5.412842655433341,4.874726837766857
1257,Aug 15,cubs,vs,CHW,,,,,5.412842655433341,4.874726837766857
1258,Aug 16,cubs,vs,CHW,,,,,5.412842655433341,4.874726837766857
1259,Aug 18,cubs,vs,KCR,,,,,5.412842655433341,4.874726837766857
1260,Aug 19,cubs,vs,KCR,,,,,5.412842655433341,4.874726837766857
1261,Aug 20,cubs,vs,KCR,,,,,5.412842655433341,4.874726837766857
1262,Aug 21,cubs,at,DET,,,,,5.412842655433341,4.874726837766857
1263,Aug 22,cubs,at,DET,,,,,5.412842655433341,4.874726837766857
1264,Aug 23,cubs,at,DET,,,,,5.412842655433341,4.874726837766857
1265,Aug 24,cubs,at,PIT,,,,,5.412842655433341,4.874726837766857
1266,Aug 25,cubs,at,PIT,,,,,5.412842655433341,4.874726837766857
1267,Aug 26,cubs,at,PIT,,,,,5.412842655433341,4.874726837766857
1268,Aug 27,cubs,at,PIT,,,,,5.412842655433341,4.874726837766857
1269,Aug 28,cubs,vs,MIL,,,,,5.412842655433341,4.874726837766857
1270,Aug 29,cubs,vs,MIL,,,,,5.412842655433341,4.874726837766857
1271,Aug 30,cubs,vs,MIL,,,,,5.412842655433341,4.874726837766857
1272,Sep 1,cubs,at,CIN,,,,,5.412842655433341,4.874726837766857
1273,Sep 2,cubs,at,CIN,,,,,5.412842655433341,4.874726837766857
1274,Sep 3,cubs,at,CIN,,,,,5.412842655433341,4.874726837766857
1275,Sep 4,cubs,vs,SFG,,,,,5.412842655433341,4.874726837766857
1276,Sep 5,cubs,vs,SFG,,,,,5.412842655433341,4.874726837766857
1277,Sep 6,cubs,vs,SFG,,,,,5.412842655433341,4.874726837766857
1278,Sep 7,cubs,vs,ARI,,,,,5.412842655433341,4.874726837766857
1279,Sep 8,cubs,vs,ARI,,,,,5.412842655433341,4.874726837766857
1280,Sep 9,cubs,vs,ARI,,,,,5.412842655433341,4.874726837766857
1281,Sep 10,cubs,vs,ARI,,,,,5.412842655433341,4.874726837766857
1282,Sep 11,cubs,at,COL,,,,,5.412842655433341,4.874726837766857
1283,Sep 12,cubs,at,COL,,,,,5.412842655433341,4.874726837766857
1284,Sep 13,cubs,at,COL,,,,,5.412842655433341,4.874726837766857
1285,Sep 15,cubs,at,ARI,,,,,5.412842655433341,4.874726837766857
1286,Sep 16,cubs,at,ARI,,,,,5.412842655433341,4.874726837766857
