Date,Opp,Name,ERA,FIP
May 4,ARI,Zac Gallen,2.53,1.64
May 4,NYY,Gerrit Cole,1.35,2.08
May 4,TOR,Kevin Gausman,2.33,2.3
May 4,MIN,Sonny Gray,0.77,1.97
May 4,TEX,Nathan Eovaldi,3.93,2.0
May 4,TEX,Jacob deGrom,2.67,1.57
May 4,SEA,Luis Castillo,1.82,2.16
May 4,ATL,Spencer Strider,2.57,2.14
May 4,PHI,Zack Wheeler,3.86,2.46
May 4,STL,Jordan Montgomery,3.34,2.6
May 4,LAD,Clayton Kershaw,1.89,2.97
May 4,CIN,Hunter Greene,2.89,2.28
May 4,HOU,Framber Valdez,2.6,3.24
May 4,HOU,Hunter Brown,2.6,2.77
May 4,SEA,George Kirby,2.93,2.53
May 4,MIN,Pablo Lopez,4.0,2.9
May 4,MIN,Joe Ryan,2.37,2.94
May 4,PHI,Matt Strahm,3.38,2.5
May 4,CIN,Graham Ashcraft,2.0,3.56
May 4,LAA,Shohei Ohtani,2.54,3.52
May 4,PIT,Mitch Keller,3.32,3.24
May 4,TBR,Shane McClanahan,2.03,3.23
May 4,PIT,David Bednar,0.69,0.9
May 4,CHC,Drew Smyly,2.83,3.43
May 4,SEA,Logan Gilbert,4.01,3.08
May 4,TBR,Drew Rasmussen,3.66,2.91
May 4,TOR,Jose Berrios,5.29,3.14
May 4,CHC,Justin Steele,1.49,3.31
May 4,CHC,Marcus Stroman,2.18,3.62
May 4,SFG,Alex Cobb,2.43,2.92
May 4,SEA,Matt Brash,4.3,0.9
May 4,SFG,Anthony DeSclafani,2.13,3.31
May 4,PHI,Aaron Nola,4.64,3.96
May 4,CIN,Alexis Diaz,2.7,0.28
May 4,COL,Ryan Feltner,4.45,3.65
May 4,MIL,Freddy Peralta,3.63,3.54
May 4,PHI,Jose Alvarado,0.68,0.66
May 4,ATL,Max Fried,0.45,2.08
May 4,BAL,Yennier Cano,0.0,1.37
May 4,TBR,Jeffrey Springs,0.56,1.85
May 4,CHW,Lucas Giolito,4.15,3.69
May 4,SDP,Josh Hader,0.64,1.78
May 4,NYM,David Robertson,0.68,1.48
May 4,PIT,Roansy Contreras,4.09,3.59
May 4,MIA,Jesus Luzardo,3.48,3.64
May 4,ATL,Bryce Elder,1.75,3.51
May 4,WSN,MacKenzie Gore,3.77,3.77
May 4,HOU,Luis Garcia,4.0,3.65
May 4,CLE,Shane Bieber,2.96,3.96
May 4,DET,Eduardo Rodriguez,2.21,3.64
May 4,LAD,Dustin May,3.15,3.72
May 4,PIT,Vince Velasquez,3.06,3.72
May 4,BAL,Grayson Rodriguez,4.07,2.91
May 4,SDP,Seth Lugo,3.21,3.88
May 4,LAA,Carlos Estevez,1.15,1.88
May 4,HOU,Cristian Javier,3.48,3.85
May 4,MIL,Wade Miley,1.86,3.39
May 4,KCR,Aroldis Chapman,1.59,0.73
May 4,BAL,Bryan Baker,1.76,1.78
May 4,SFG,Logan Webb,3.8,4.0
May 4,CHC,Jameson Taillon,4.5,1.86
May 4,TBR,Taj Bradley,3.52,2.57
May 4,SDP,Yu Darvish,3.6,3.82
May 4,LAD,Julio Urias,3.86,4.32
May 4,MIN,Griffin Jax,3.86,2.0
May 4,WSN,Josiah Gray,2.67,4.32
May 4,WSN,Trevor Williams,3.41,4.36
May 4,OAK,Mason Miller,3.52,2.44
May 4,PIT,Johan Oviedo,4.78,3.75
May 4,ARI,Merrill Kelly,3.06,4.09
May 4,BAL,Felix Bautista,1.32,2.11
May 4,SEA,Trevor Gott,2.3,2.2
May 4,ATL,Nick Anderson,3.55,1.71
May 4,CLE,Eli Morgan,0.64,1.78
May 4,CHW,Dylan Cease,4.58,4.27
May 4,NYY,Michael King,1.56,2.02
May 4,KCR,Kris Bubic,3.94,2.66
May 4,CLE,Tanner Bibee,2.45,2.38
May 4,BOS,Kenley Jansen,1.04,1.21
May 4,MIA,Huascar Brazoban,2.55,2.72
May 4,SDP,Michael Wacha,5.46,4.24
May 4,MIL,Devin Williams,0.0,1.25
May 4,MIA,Sandy Alcantara,5.09,4.19
May 4,WSN,Mason Thompson,2.18,3.04
May 4,TEX,Martin Perez,2.41,4.09
May 4,MIL,Corbin Burnes,4.01,4.09
May 4,COL,Jake Bird,3.27,2.97
May 4,SEA,Paul Sewald,2.81,3.03
May 4,TBR,Kevin Kelly,3.71,2.7
May 4,LAA,Patrick Sandoval,2.93,4.13
May 4,LAA,Andrew Wantz,0.79,2.49
May 4,BAL,Kyle Gibson,4.61,4.43
May 4,SEA,Bryce Miller,1.5,-0.05
May 4,COL,Kyle Freeland,3.76,4.93
May 4,ATL,Charlie Morton,3.38,4.03
May 4,CLE,Aaron Civale,2.84,2.49
May 4,MIN,Bailey Ober,1.59,2.84
May 4,LAA,Matt Moore,1.17,2.44
May 4,BAL,Danny Coulombe,0.84,1.78
May 4,NYY,Ian Hamilton,1.56,2.07
May 4,ARI,Andrew Chafin,2.31,2.43
May 4,TOR,Tim Mayza,1.04,1.44
May 4,DET,Alex Lange,1.32,2.26
May 4,LAD,Brusdar Graterol,2.77,2.05
May 4,NYY,Nestor Cortes,4.91,4.62
May 4,SDP,Ryan Weathers,2.5,3.78
May 4,SDP,Nick Martinez,3.41,4.52
May 4,SEA,Gabe Speier,0.0,2.07
May 4,BOS,Josh Winckowski,1.61,3.15
May 4,CLE,Hunter Gaddis,6.86,3.84
May 4,CHC,Adbert Alzolay,3.07,2.33
May 4,WSN,Hunter Harvey,1.98,3.21
May 4,LAD,Caleb Ferguson,1.46,2.72
May 4,COL,Brad Hand,4.22,2.25
May 4,CLE,Logan Allen,2.45,2.38
May 4,MIL,Peter Strzelecki,1.23,2.47
May 4,BOS,Tanner Houck,5.34,4.32
May 4,MIN,Tyler Mahle,3.16,4.22
May 4,COL,Brent Suter,0.98,3.12
May 4,DET,Jason Foley,1.32,2.55
May 4,PHI,Bailey Falter,5.01,4.99
May 4,BOS,Chris Sale,6.75,4.55
May 4,MIL,Brandon Woodruff,0.79,3.11
May 4,LAD,Phil Bickford,3.95,2.55
May 4,TBR,Zach Eflin,3.0,3.71
May 4,MIA,A.J. Puk,0.75,2.95
May 4,TOR,Jordan Romano,3.65,2.96
May 4,CIN,Ian Gibaut,3.0,3.12
May 4,ATL,A.J. Minter,7.98,3.35
May 4,LAA,Reid Detmers,4.85,4.4
May 4,TBR,Josh Fleming,3.18,3.24
May 4,NYY,Ron Marinaccio,1.93,3.07
May 4,CHW,Gregory Santos,1.62,2.5
May 4,SEA,Justin Topa,1.5,2.53
May 4,ARI,Miguel Castro,2.13,2.89
May 4,STL,Ryan Helsley,3.97,3.11
May 4,CHC,Mark Leiter Jr.,1.38,2.75
May 4,CLE,Cal Quantrill,4.73,4.68
May 4,TBR,Yonny Chirinos,0.64,2.78
May 4,SFG,John Brebbia,5.84,2.39
May 4,SDP,Luis Garcia,6.59,3.06
May 4,NYY,Jhony Brito,5.56,4.39
May 4,SEA,Marco Gonzales,4.74,4.3
May 4,LAA,Griffin Canning,4.11,4.2
May 4,LAD,Noah Syndergaard,6.32,4.69
May 4,COL,Justin Lawrence,1.65,3.35
May 4,CIN,Alex Young,2.57,3.07
May 4,NYY,Domingo German,4.46,4.62
May 4,PIT,Duane Underwood Jr.,2.63,2.63
May 4,LAA,Tucker Davidson,2.4,2.48
May 4,NYM,Jimmy Yacabonis,4.15,2.48
May 4,COL,Noah Davis,6.17,3.88
May 4,MIL,Bryse Wilson,2.16,3.16
May 4,NYM,Drew Smith,2.45,3.01
May 4,OAK,Zach Jackson,2.57,3.5
May 4,CHW,Keynan Middleton,2.89,2.32
May 4,HOU,Phil Maton,1.13,2.72
May 4,MIN,Emilio Pagan,5.56,2.05
May 4,STL,Drew VerHagen,4.73,2.98
May 4,TEX,Dane Dunning,1.77,3.24
May 4,MIA,Trevor Rogers,4.0,4.12
May 4,STL,Miles Mikolas,5.79,4.86
May 4,CIN,Fernando Cruz,6.59,3.06
May 4,SFG,Camilo Doval,2.77,3.28
May 4,MIA,Dylan Floro,2.13,3.13
May 4,PIT,Robert Stephenson,0.0,1.78
May 4,MIN,Jorge Lopez,1.38,3.21
May 4,CHC,Brandon Hughes,3.18,1.17
May 4,CLE,Zach Plesac,7.59,4.5
May 4,COL,German Marquez,4.95,4.63
May 4,TEX,Will Smith,1.69,3.38
May 4,WSN,Erasmo Ramirez,5.4,3.13
May 4,TEX,Cole Ragans,5.91,2.91
May 4,LAA,Jose Quijada,6.0,3.17
May 4,PIT,Colin Holderman,3.46,3.36
May 4,ARI,Kyle Nelson,1.54,2.94
May 4,TEX,Jonathan Hernandez,3.0,3.28
May 4,ATL,Jesse Chavez,3.0,3.37
May 4,CIN,Nick Lodolo,6.16,5.08
May 4,CIN,Lucas Sims,0.0,2.38
May 4,PHI,Connor Brogdon,2.25,3.66
May 4,HOU,Bryan Abreu,1.17,3.41
May 4,DET,Will Vest,0.0,0.86
May 4,BOS,Brennan Bernardino,0.0,1.52
May 4,BAL,Keegan Akin,6.75,3.03
May 4,STL,Chris Stratton,3.86,2.86
May 4,HOU,Ryan Pressly,3.65,3.2
May 4,MIN,Caleb Thielbar,1.8,3.18
May 4,NYY,Jimmy Cordero,2.38,2.67
May 4,SEA,Easton McGee,0.0,3.13
May 4,MIA,Bryan Hoeing,6.23,3.28
May 4,KCR,Brad Keller,3.56,4.7
May 4,OAK,JP Sears,5.06,5.03
May 4,SFG,Alex Wood,1.8,3.48
May 4,DET,Matthew Boyd,5.47,4.95
May 4,NYY,Clay Holmes,6.3,2.98
May 4,ATL,Michael Tonkin,2.25,3.72
May 4,BOS,John Schreiber,2.57,3.5
May 4,ARI,Ryne Nelson,6.39,5.03
May 4,TOR,Erik Swanson,1.84,3.56
May 4,CIN,Buck Farmer,3.77,4.26
May 4,MIA,JT Chargois,0.0,1.44
May 4,BAL,Tyler Wells,3.34,4.94
May 4,PIT,Jose Hernandez,1.42,2.73
May 4,WSN,Patrick Corbin,5.74,5.29
May 4,PHI,Luis Ortiz,3.12,1.9
May 4,PHI,Cristopher Sanchez,6.23,2.36
May 4,LAD,Alex Vesia,7.84,3.38
May 4,WSN,Andres Machado,0.0,1.65
May 4,HOU,Hector Neris,2.08,3.9
May 4,CLE,Emmanuel Clase,2.2,3.71
May 4,BOS,Kutter Crawford,3.51,4.3
May 4,CLE,Xzavion Curry,2.5,3.34
May 4,LAD,Justin Bruihl,1.8,2.28
May 4,STL,Genesis Cabrera,2.31,3.03
May 4,LAD,Michael Grove,8.44,4.66
May 4,ATL,Dylan Lee,3.14,3.56
May 4,CHC,Michael Rucker,3.18,3.28
May 4,TEX,Brock Burke,2.03,3.58
May 4,ATL,Kyle Wright,5.79,4.46
May 4,TBR,Jason Adam,1.59,3.46
May 4,PHI,Gregory Soto,5.4,3.73
May 4,BAL,Mike Baumann,2.76,3.84
May 4,COL,Connor Seabold,5.27,3.65
May 4,CLE,Enyel De Los Santos,1.74,3.28
May 4,LAD,Shelby Miller,1.32,3.65
May 4,KCR,Zack Greinke,5.25,4.92
May 4,MIN,Kenta Maeda,9.0,4.53
May 4,CHW,Lance Lynn,7.16,5.37
May 4,HOU,Rafael Montero,2.77,3.44
May 4,CIN,Luis Cessa,9.36,5.52
May 4,LAA,Aaron Loup,5.4,3.52
May 4,LAD,Victor Gonzalez,0.0,1.87
May 4,KCR,Brady Singer,8.49,4.97
May 4,MIA,Braxton Garrett,5.81,4.77
May 4,NYY,Clarke Schmidt,5.83,5.06
May 4,KCR,Josh Staumont,2.45,2.33
May 4,STL,Zack Thompson,4.63,3.63
May 4,LAA,Jaime Barria,2.76,4.08
May 4,TEX,Josh Sborz,3.72,3.08
May 4,TOR,Nate Pearson,0.0,1.67
May 4,PHI,Seranthony Dominguez,5.54,4.21
May 4,TEX,Ian Kennedy,7.27,3.28
May 4,DET,Michael Lorenzen,5.14,4.76
May 4,CHC,Michael Fulmer,6.57,4.01
May 4,SFG,Tyler Rogers,2.93,3.94
May 4,SEA,Andres Munoz,0.0,2.38
May 4,LAA,Chris Devenski,0.0,2.62
May 4,TBR,Braden Bristo,0.0,1.62
May 4,DET,Tyler Holton,1.69,3.47
May 4,ATL,Danny Young,2.45,1.65
May 4,STL,Packy Naughton,0.0,1.88
May 4,MIA,George Soriano,2.57,3.28
May 4,CHC,Keegan Thompson,3.52,4.07
May 4,CHW,Jesse Scholtens,3.0,2.62
May 4,STL,Jack Flaherty,3.94,5.1
May 4,TBR,Chase Anderson,0.0,1.95
May 4,WSN,Thad Ward,3.97,3.99
May 4,SFG,Scott Alexander,6.35,3.73
May 4,MIN,Brent Headrick,3.24,3.4
May 4,COL,Pierce Johnson,3.97,4.43
May 4,NYM,Joey Lucchesi,3.86,4.81
May 4,KCR,Josh Taylor,6.0,3.73
May 4,KCR,Taylor Clarke,5.4,4.42
May 4,BAL,Cionel Perez,5.06,3.94
May 4,COL,Daniel Bard,0.0,3.88
May 4,ATL,Collin McHugh,2.7,3.98
May 4,PHI,Andrew Bellatti,6.23,4.55
May 4,TBR,Zack Burdi,0.0,1.62
May 4,CHW,Aaron Bummer,9.0,3.98
May 4,PIT,Rob Zastryzny,7.94,3.81
May 4,HOU,Ronel Blanco,4.5,3.7
May 4,HOU,Matt Gage,0.0,2.08
May 4,BAL,Kyle Bradish,6.14,4.78
May 4,TBR,Pete Fairbanks,0.0,3.68
May 4,CHC,Hayden Wesneski,4.45,5.23
May 4,CHC,Julian Merryweather,6.94,3.88
May 4,TBR,Calvin Faucher,6.43,5.07
May 4,CHC,Jeremiah Estrada,0.0,2.53
May 4,BOS,Richard Bleier,5.93,4.02
May 4,ARI,Joe Mantiply,3.0,3.45
May 4,KCR,Amir Garrett,2.03,4.03
May 4,LAD,Gavin Stone,9.0,4.28
May 4,NYM,Stephen Nogosek,2.0,3.95
May 4,MIL,Eric Lauer,4.4,5.31
May 4,MIL,Elvis Peguero,2.7,4.18
May 4,CHW,Mike Clevinger,4.6,5.47
May 4,NYY,Albert Abreu,5.02,4.26
May 4,WSN,Carl Edwards Jr.,1.5,4.7
May 4,OAK,Sam Moll,3.27,4.19
May 4,SDP,Ray Kerr,0.0,0.28
May 4,ARI,Anthony Misiewicz,3.86,3.28
May 4,MIL,Joel Payamps,2.7,4.48
May 4,ATL,Dylan Dodd,7.71,5.11
May 4,CHW,Joe Kelly,7.71,3.71
May 4,PIT,Rich Hill,4.18,5.26
May 4,CIN,Jason Vosler,4.5,3.28
May 4,NYY,Nick Ramirez,4.15,3.28
May 4,ARI,Tommy Henry,6.52,5.35
May 4,STL,JoJo Romero,1.5,3.62
May 4,LAA,Ryan Tepera,9.0,4.08
May 4,WSN,Jake Irvin,2.08,5.36
May 4,MIA,Matt Barnes,4.15,4.28
May 4,STL,Guillermo Zuniga,0.0,-0.72
May 4,MIL,Tyson Miller,0.0,2.28
May 4,SEA,Penn Murfee,1.38,4.28
May 4,OAK,Sammy Long,9.0,3.78
May 4,PHI,Andrew Vasquez,1.93,4.36
May 4,BOS,Chris Martin,2.0,4.28
May 4,CIN,Casey Legumina,2.25,4.16
May 4,TBR,Ryan Thompson,2.08,3.86
May 4,ATL,Joe Jimenez,2.7,3.88
May 4,TOR,Yusei Kikuchi,4.02,5.36
May 4,ARI,Luis Frias,21.6,2.68
May 4,ARI,Kevin Ginkel,3.38,4.33
May 4,STL,Steven Matz,6.39,5.25
May 4,DET,Trey Wingenter,8.31,3.75
May 4,CLE,Trevor Stephan,1.42,4.31
May 4,WSN,Jordan Weems,0.0,3.28
May 4,CHC,Caleb Kilian,18.9,4.48
May 4,CLE,Konnor Pilkington,0.0,2.78
May 4,BAL,DL Hall,6.0,3.95
May 4,LAD,Luke Williams,0.0,3.28
May 4,KCR,Nate Eaton,0.0,1.28
May 4,SEA,Tayler Saucedo,0.0,2.78
May 4,NYM,Luis Guillorme,0.0,3.28
May 4,TBR,Heath Hembree,0.0,2.53
May 4,NYM,Tommy Hunter,6.3,3.98
May 4,CIN,Levi Stoudt,15.75,5.78
May 4,TBR,Cooper Criswell,6.75,4.03
May 4,ATL,Kirby Yates,3.38,4.41
May 4,SDP,Tom Cosgrove,0.0,3.28
May 4,NYM,Zach Muckenhirn,0.0,3.28
May 4,SEA,Jose Rodriguez,9.0,3.62
May 4,HOU,Jose Urquidy,5.2,5.63
May 4,LAA,Chase Silseth,0.0,4.28
May 4,CIN,Luke Maile,9.0,3.28
May 4,SDP,Brandon Dixon,0.0,3.28
May 4,NYY,Isiah Kiner-Falefa,0.0,3.28
May 4,TBR,Luke Raley,18.0,3.28
May 4,LAD,Evan Phillips,2.7,4.38
May 4,CIN,Kevin Herget,2.35,5.11
May 4,MIL,Alex Claudio,0.0,3.28
May 4,TOR,Yimi Garcia,5.52,4.31
May 4,COL,Nick Mears,9.0,4.28
May 4,MIN,Willi Castro,0.0,3.28
May 4,STL,Giovanny Gallegos,3.6,4.28
May 4,TOR,Trevor Richards,3.55,4.31
May 4,BOS,Ryan Brasier,7.98,4.58
May 4,TBR,Garrett Cleavinger,2.53,4.22
May 4,NYM,Edwin Uceta,0.0,4.28
May 4,SFG,Matt Beaty,27.0,4.28
May 4,MIA,Edward Cabrera,4.67,5.32
May 4,SEA,Darren McCaughan,0.0,4.28
May 4,CIN,Joel Kuhnel,13.5,4.78
May 4,MIN,Josh Winder,27.0,4.78
May 4,MIN,Brock Stewart,0.0,4.28
May 4,MIL,Colin Rea,4.79,5.36
May 4,ATL,Jared Shuster,8.31,5.25
May 4,SDP,Blake Snell,5.28,5.56
May 4,TEX,Yerry Rodriguez,4.5,5.28
May 4,LAD,Tony Gonsolin,3.38,5.78
May 4,OAK,Kyle Muller,6.28,5.38
May 4,PIT,Cody Bolton,4.5,4.53
May 4,TEX,Taylor Hearn,10.29,4.86
May 4,BAL,Cole Irvin,10.66,5.42
May 4,NYM,Kodai Senga,4.15,5.4
May 4,PHI,Kody Clemens,9.0,7.28
May 4,HOU,Ryne Stanek,3.27,5.01
May 4,MIN,Cole Sands,2.25,5.03
May 4,HOU,Seth Martinez,5.84,4.91
May 4,PHI,Josh Harrison,27.0,6.88
May 4,DET,Spencer Turnbull,6.84,5.33
May 4,SEA,Tommy Milone,1.93,6.07
May 4,SFG,Sean Hjelle,10.13,4.56
May 4,COL,Harold Castro,18.0,9.28
May 4,CLE,Tim Herrin,7.45,4.53
May 4,CHW,Tanner Banks,3.38,4.78
May 4,MIA,Jeff Lindgren,7.2,5.08
May 4,OAK,Drew Rucinski,4.76,5.75
May 4,MIL,Gus Varland,2.7,4.93
May 4,SEA,Robbie Ray,8.1,5.98
May 4,LAD,Yency Almonte,7.62,4.98
May 4,NYM,Adam Ottavino,4.09,4.65
May 4,TOR,Alek Manoah,4.71,5.43
May 4,MIN,Simeon Woods Richardson,9.64,5.86
May 4,BOS,Zack Kelly,3.68,4.92
May 4,NYM,David Peterson,7.34,5.31
May 4,CHC,Javier Assad,9.82,6.28
May 4,BOS,Nick Pivetta,4.99,5.4
May 4,MIL,Janson Junk,7.71,6.5
May 4,BOS,Brayan Bello,6.57,5.64
May 4,WSN,Lane Thomas,27.0,14.28
May 4,CLE,Peyton Battenfield,4.67,5.82
May 4,MIA,Jacob Stallings,4.5,8.78
May 4,MIA,Steven Okert,5.06,5.35
May 4,CHW,Hanser Alberto,21.6,11.68
May 4,DET,Zach McKinstry,18.0,16.28
May 4,COL,Ty Blach,8.18,5.47
May 4,TBR,Trevor Kelley,9.0,6.28
May 4,COL,Alan Trejo,9.0,16.28
May 4,BOS,Garrett Whitlock,6.19,5.91
May 4,WSN,Cory Abbott,4.5,10.28
May 4,SDP,Tim Hill,3.21,5.0
May 4,WSN,Hobie Harris,7.36,5.65
May 4,KCR,Carlos Hernandez,4.8,4.75
May 4,WSN,Anthony Banda,6.43,6.0
May 4,MIN,Jorge Alcala,4.5,4.98
May 4,DET,Joey Wentz,6.67,5.54
May 4,NYY,Wandy Peralta,2.38,4.7
May 4,NYM,Jeff Brigham,5.14,5.43
May 4,SEA,J.B. Bukauskas,9.0,7.28
May 4,SDP,Reiss Knehr,12.27,7.65
May 4,PIT,Chase De Jong,8.53,5.97
May 4,CIN,Luke Weaver,7.88,6.28
May 4,HOU,Brandon Bielak,4.5,5.78
May 4,PIT,Yohan Ramirez,2.57,5.71
May 4,SDP,Brent Honeywell,2.6,4.9
May 4,LAD,Jake Reed,81.0,24.28
May 4,STL,Jordan Hicks,5.84,4.91
May 4,OAK,Adrian Martinez,6.75,4.96
May 4,OAK,Jace Peterson,18.0,20.28
May 4,COL,Austin Gomber,7.57,6.28
May 4,TOR,Anthony Bass,7.71,5.86
