Date,Opp,Name,ERA,FIP
May 7,ARI,Zac Gallen,2.53,1.64
May 7,NYY,Gerrit Cole,1.35,2.08
May 7,TEX,Nathan Eovaldi,3.22,2.14
May 7,ATL,Spencer Strider,2.7,1.78
May 7,MIN,Sonny Gray,1.35,2.06
May 7,PHI,Zack Wheeler,4.26,2.39
May 7,SEA,Luis Castillo,2.38,2.49
May 7,TEX,Jacob deGrom,2.67,1.57
May 7,TOR,Kevin Gausman,3.86,2.57
May 7,STL,Jordan Montgomery,3.29,2.8
May 7,MIN,Pablo Lopez,3.77,2.96
May 7,CHC,Justin Steele,1.45,3.12
May 7,HOU,Framber Valdez,2.6,3.24
May 7,HOU,Hunter Brown,2.6,2.77
May 7,DET,Eduardo Rodriguez,1.81,3.24
May 7,CIN,Hunter Greene,3.74,2.9
May 7,TBR,Drew Rasmussen,3.11,2.81
May 7,SEA,George Kirby,3.11,2.99
May 7,SFG,Alex Cobb,2.01,2.89
May 7,TOR,Jose Berrios,4.91,3.21
May 7,MIN,Joe Ryan,2.37,2.94
May 7,PHI,Matt Strahm,3.38,2.5
May 7,LAD,Clayton Kershaw,2.53,3.64
May 7,CIN,Graham Ashcraft,2.0,3.56
May 7,LAA,Shohei Ohtani,2.54,3.52
May 7,PIT,David Bednar,0.64,0.78
May 7,PIT,Mitch Keller,3.32,3.24
May 7,HOU,Cristian Javier,3.54,3.51
May 7,TBR,Shane McClanahan,2.03,3.23
May 7,LAD,Dustin May,2.68,3.43
May 7,BAL,Yennier Cano,0.0,1.21
May 7,SEA,Logan Gilbert,4.01,3.08
May 7,SDP,Yu Darvish,3.19,3.48
May 7,WSN,MacKenzie Gore,3.65,3.64
May 7,CHW,Lucas Giolito,3.67,3.81
May 7,CHC,Marcus Stroman,2.18,3.62
May 7,CHC,Drew Smyly,3.05,3.73
May 7,CIN,Alexis Diaz,2.45,0.56
May 7,SFG,Anthony DeSclafani,2.13,3.31
May 7,PHI,Aaron Nola,4.64,3.96
May 7,MIL,Wade Miley,2.31,3.43
May 7,COL,Ryan Feltner,4.45,3.65
May 7,MIL,Freddy Peralta,3.63,3.54
May 7,SDP,Josh Hader,0.6,1.82
May 7,PHI,Jose Alvarado,0.68,0.66
May 7,ARI,Merrill Kelly,2.75,3.84
May 7,TBR,Zach Eflin,2.25,2.89
May 7,TBR,Jeffrey Springs,0.56,1.85
May 7,PIT,Roansy Contreras,4.09,3.59
May 7,ATL,Bryce Elder,1.75,3.51
May 7,LAA,Carlos Estevez,1.08,1.9
May 7,MIN,Bailey Ober,0.98,2.52
May 7,HOU,Luis Garcia,4.0,3.65
May 7,CLE,Shane Bieber,2.96,3.96
May 7,MIA,Jesus Luzardo,3.66,3.89
May 7,SDP,Seth Lugo,3.21,3.88
May 7,BOS,Chris Sale,6.37,3.94
May 7,ATL,Max Fried,2.08,3.05
May 7,SEA,Matt Brash,5.28,1.78
May 7,NYM,David Robertson,0.63,2.03
May 7,DET,Alex Lange,1.15,1.75
May 7,SFG,Logan Webb,3.8,4.0
May 7,MIA,Huascar Brazoban,2.25,2.48
May 7,PIT,Vince Velasquez,3.06,4.02
May 7,PIT,Johan Oviedo,5.59,3.77
May 7,WSN,Josiah Gray,3.03,4.37
May 7,TBR,Taj Bradley,3.52,2.57
May 7,CHC,Jameson Taillon,5.29,2.4
May 7,BOS,Kenley Jansen,0.84,1.13
May 7,ATL,Nick Anderson,3.68,1.92
May 7,SEA,Paul Sewald,3.5,2.73
May 7,NYY,Michael King,1.42,2.02
May 7,LAD,Julio Urias,3.86,4.32
May 7,MIN,Griffin Jax,3.86,2.0
May 7,WSN,Trevor Williams,3.41,4.36
May 7,OAK,Mason Miller,3.52,2.44
May 7,TOR,Tim Mayza,0.79,1.17
May 7,BAL,Bryan Baker,2.16,2.44
May 7,NYY,Ian Hamilton,1.42,1.97
May 7,COL,Jake Bird,3.0,2.87
May 7,TBR,Kevin Kelly,4.26,2.65
May 7,BAL,Felix Bautista,1.84,2.19
May 7,CLE,Eli Morgan,0.64,1.78
May 7,KCR,Aroldis Chapman,3.09,1.57
May 7,PHI,Bailey Falter,5.75,4.67
May 7,LAA,Reid Detmers,5.1,3.98
May 7,SEA,Trevor Gott,2.2,2.3
May 7,CHW,Dylan Cease,4.58,4.27
May 7,KCR,Kris Bubic,3.94,2.66
May 7,WSN,Patrick Corbin,5.17,4.61
May 7,ATL,A.J. Minter,7.02,2.86
May 7,CLE,Tanner Bibee,2.45,2.38
May 7,SDP,Michael Wacha,5.46,4.24
May 7,MIL,Devin Williams,0.0,1.25
