Date,Opp,Name,ERA,FIP
Jun 2,ARI,Zac Gallen,2.72,2.09
Jun 2,TOR,Kevin Gausman,2.76,2.38
Jun 2,TEX,Nathan Eovaldi,2.42,2.53
Jun 2,PHI,Zack Wheeler,3.6,2.67
Jun 2,MIN,Sonny Gray,1.94,2.19
Jun 2,ATL,Spencer Strider,2.97,2.36
Jun 2,CHC,Justin Steele,2.65,2.84
Jun 2,PIT,Mitch Keller,3.25,2.86
Jun 2,HOU,Framber Valdez,2.38,2.94
Jun 2,MIN,Joe Ryan,2.77,2.79
Jun 2,HOU,Hunter Brown,3.61,2.9
Jun 2,SEA,Luis Castillo,2.69,2.92
Jun 2,SEA,George Kirby,3.04,3.27
Jun 2,SEA,Logan Gilbert,4.08,3.14
Jun 2,DET,Eduardo Rodriguez,2.13,3.17
Jun 2,LAD,Clayton Kershaw,3.32,3.41
Jun 2,SFG,Logan Webb,2.75,3.28
Jun 2,ARI,Merrill Kelly,2.83,3.41
Jun 2,CIN,Hunter Greene,3.92,3.48
Jun 2,TBR,Shane McClanahan,2.07,3.4
Jun 2,BAL,Yennier Cano,0.93,1.42
Jun 2,CHC,Marcus Stroman,2.59,3.54
Jun 2,CHC,Drew Smyly,3.45,3.62
Jun 2,TEX,Jacob deGrom,2.67,1.57
Jun 2,SDP,Michael Wacha,3.45,3.55
Jun 2,TBR,Drew Rasmussen,2.62,2.57
Jun 2,ATL,Bryce Elder,1.92,3.42
Jun 2,NYY,Gerrit Cole,2.93,3.69
Jun 2,CIN,Alexis Diaz,1.69,1.13
Jun 2,LAA,Shohei Ohtani,2.91,3.78
Jun 2,MIA,Jesus Luzardo,4.05,3.69
Jun 2,BOS,Chris Sale,4.58,3.71
Jun 2,MIN,Pablo Lopez,4.54,3.79
Jun 2,HOU,Cristian Javier,2.97,3.82
Jun 2,LAD,Dustin May,2.63,3.26
Jun 2,SEA,Bryce Miller,3.0,2.7
Jun 2,SFG,Anthony DeSclafani,3.48,3.67
Jun 2,TEX,Dane Dunning,2.06,2.83
Jun 2,WSN,MacKenzie Gore,3.57,3.97
Jun 2,PHI,Matt Strahm,3.2,2.88
Jun 2,STL,Miles Mikolas,3.75,3.93
Jun 2,MIA,Sandy Alcantara,4.93,3.89
Jun 2,TOR,Jose Berrios,3.86,3.79
Jun 2,TBR,Zach Eflin,3.3,3.57
Jun 2,CLE,Logan Allen,2.72,2.93
Jun 2,PHI,Aaron Nola,4.7,4.4
Jun 2,LAA,Reid Detmers,5.15,3.62
Jun 2,PIT,David Bednar,1.29,1.38
Jun 2,STL,Jordan Montgomery,4.48,3.91
Jun 2,BAL,Kyle Gibson,3.89,4.07
Jun 2,MIN,Bailey Ober,2.68,3.23
Jun 2,CLE,Tanner Bibee,3.2,3.23
Jun 2,CLE,Shane Bieber,3.72,4.14
Jun 2,SFG,Alex Cobb,3.05,3.67
Jun 2,BAL,Felix Bautista,1.33,2.14
Jun 2,TBR,Taj Bradley,3.6,2.82
Jun 2,NYM,Kodai Senga,3.44,3.85
Jun 2,ATL,Charlie Morton,3.59,3.8
Jun 2,SEA,Trevor Gott,1.75,1.88
Jun 2,SDP,Josh Hader,1.61,2.34
Jun 2,SDP,Yu Darvish,4.61,4.15
Jun 2,NYY,Clarke Schmidt,5.01,3.95
Jun 2,NYM,Max Scherzer,3.21,4.12
Jun 2,WSN,Josiah Gray,2.77,4.5
Jun 2,COL,Brent Suter,1.93,2.76
Jun 2,CHW,Lucas Giolito,4.08,4.46
Jun 2,CIN,Graham Ashcraft,5.55,4.57
Jun 2,ATL,Nick Anderson,3.47,2.38
Jun 2,MIN,Griffin Jax,4.44,2.17
Jun 2,SEA,Matt Brash,4.57,1.81
Jun 2,LAA,Patrick Sandoval,3.42,4.22
Jun 2,SEA,Paul Sewald,2.96,2.5
Jun 2,LAA,Jaime Barria,1.59,3.11
Jun 2,SDP,Seth Lugo,4.1,3.96
Jun 2,CHW,Dylan Cease,4.88,4.4
Jun 2,DET,Alex Lange,1.16,2.08
Jun 2,PHI,Jose Alvarado,0.63,0.84
Jun 2,COL,Justin Lawrence,2.93,2.73
Jun 2,BOS,Tanner Houck,5.3,4.14
Jun 2,TBR,Jeffrey Springs,0.56,1.85
Jun 2,PIT,Johan Oviedo,4.5,4.13
Jun 2,LAA,Carlos Estevez,1.5,3.08
Jun 2,LAD,Caleb Ferguson,1.35,2.23
Jun 2,KCR,Aroldis Chapman,3.1,2.1
Jun 2,NYY,Michael King,1.76,2.6
Jun 2,SDP,Nick Martinez,2.7,3.97
Jun 2,ATL,Jesse Chavez,1.88,2.49
Jun 2,MIA,Braxton Garrett,4.22,4.0
Jun 2,HOU,Luis Garcia,4.0,3.65
Jun 2,NYY,Ian Hamilton,1.23,1.78
Jun 2,COL,Brad Hand,3.54,2.01
Jun 2,KCR,Zack Greinke,4.19,4.34
Jun 2,ARI,Andrew Chafin,3.1,2.55
Jun 2,DET,Jason Foley,1.57,2.37
Jun 2,PIT,Rich Hill,4.76,4.32
Jun 2,PIT,Vince Velasquez,3.86,3.9
Jun 2,NYY,Clay Holmes,3.09,2.26
Jun 2,COL,Kyle Freeland,4.22,4.97
Jun 2,WSN,Hunter Harvey,3.42,3.25
Jun 2,CLE,Emmanuel Clase,3.33,2.84
Jun 2,COL,Jake Bird,2.95,3.09
Jun 2,NYY,Nestor Cortes,5.16,4.6
Jun 2,STL,Ryan Helsley,3.52,2.89
Jun 2,HOU,Phil Maton,0.68,2.2
Jun 2,MIA,Huascar Brazoban,3.6,3.02
Jun 2,TOR,Jordan Romano,3.27,3.01
Jun 2,NYY,Domingo German,3.98,4.41
Jun 2,ATL,Max Fried,2.08,3.05
Jun 2,TEX,Will Smith,3.32,2.49
Jun 2,SFG,Camilo Doval,2.19,2.72
Jun 2,TOR,Tim Mayza,1.83,1.96
Jun 2,BAL,Tyler Wells,3.29,4.65
Jun 2,NYM,David Robertson,1.48,3.08
Jun 2,PIT,Colin Holderman,2.18,2.12
Jun 2,COL,Ryan Feltner,5.86,4.36
Jun 2,ATL,A.J. Minter,6.66,3.01
Jun 2,STL,Giovanny Gallegos,2.38,3.11
Jun 2,HOU,Hector Neris,1.16,2.94
Jun 2,ARI,Miguel Castro,2.22,3.0
Jun 2,LAD,Brusdar Graterol,1.9,2.73
Jun 2,STL,Chris Stratton,3.77,2.57
Jun 2,WSN,Patrick Corbin,4.92,4.95
Jun 2,MIL,Adrian Houser,4.07,3.28
Jun 2,CHC,Adbert Alzolay,2.33,2.77
Jun 2,BAL,Danny Coulombe,2.18,2.85
Jun 2,HOU,Ryan Pressly,3.09,2.64
Jun 2,ARI,Ryne Nelson,5.37,4.76
Jun 2,OAK,Mason Miller,3.38,3.1
Jun 2,SEA,Marco Gonzales,5.22,4.3
Jun 2,MIL,Corbin Burnes,3.68,4.54
Jun 2,SEA,Gabe Speier,2.79,1.99
Jun 2,SFG,John Brebbia,3.97,2.53
Jun 2,MIL,Joel Payamps,2.39,3.25
Jun 2,CIN,Ben Lively,1.99,3.55
Jun 2,KCR,Carlos Hernandez,3.54,2.82
Jun 2,BAL,Kyle Bradish,3.89,4.22
Jun 2,BAL,Bryan Baker,3.55,3.17
Jun 2,KCR,Kris Bubic,3.94,2.66
Jun 2,NYY,Jimmy Cordero,3.47,2.81
Jun 2,LAD,Bobby Miller,1.64,2.19
Jun 2,TEX,Jon Gray,2.81,4.64
Jun 2,PHI,Bailey Falter,5.13,4.75
Jun 2,MIL,Devin Williams,0.51,2.72
Jun 2,MIL,Freddy Peralta,4.62,4.76
Jun 2,MIA,Edward Cabrera,5.02,4.63
Jun 2,LAA,Chris Devenski,2.7,2.92
Jun 2,STL,Jack Flaherty,4.81,4.59
Jun 2,LAD,Evan Phillips,1.66,2.92
Jun 2,PIT,Roansy Contreras,4.33,4.53
Jun 2,LAA,Andrew Wantz,3.32,3.28
Jun 2,TEX,Josh Sborz,4.76,2.58
Jun 2,CHW,Gregory Santos,2.2,2.97
Jun 2,SDP,Ryan Weathers,4.28,4.47
Jun 2,PIT,Dauri Moreta,1.8,3.0
Jun 2,OAK,Zach Jackson,2.5,3.12
Jun 2,TBR,Kevin Kelly,4.15,3.32
Jun 2,SEA,Justin Topa,3.32,2.96
Jun 2,DET,Michael Lorenzen,3.5,4.3
Jun 2,MIA,Tanner Scott,3.46,3.17
Jun 2,CLE,Aaron Civale,2.84,2.49
