Date,Opp,Name,ERA,FIP
May 5,ARI,Zac Gallen,2.53,1.64
May 5,NYY,Gerrit Cole,1.35,2.08
May 5,MIN,Sonny Gray,0.77,1.97
May 5,TEX,Nathan Eovaldi,3.93,2.0
May 5,TEX,Jacob deGrom,2.67,1.57
May 5,TOR,Kevin Gausman,3.86,2.57
May 5,SEA,Luis Castillo,1.82,2.16
May 5,ATL,Spencer Strider,2.57,2.14
May 5,PHI,Zack Wheeler,3.86,2.46
May 5,STL,Jordan Montgomery,3.34,2.6
May 5,LAD,Clayton Kershaw,1.89,2.97
May 5,MIN,Pablo Lopez,3.77,2.96
May 5,CIN,Hunter Greene,2.89,2.28
May 5,HOU,Framber Valdez,2.6,3.24
May 5,HOU,Hunter Brown,2.6,2.77
May 5,DET,Eduardo Rodriguez,1.81,3.24
May 5,SEA,George Kirby,3.11,2.99
May 5,MIN,Joe Ryan,2.37,2.94
May 5,PHI,Matt Strahm,3.38,2.5
May 5,CIN,Graham Ashcraft,2.0,3.56
May 5,LAA,Shohei Ohtani,2.54,3.52
May 5,PIT,Mitch Keller,3.32,3.24
May 5,TBR,Shane McClanahan,2.03,3.23
May 5,PIT,David Bednar,0.69,0.9
May 5,BAL,Yennier Cano,0.0,1.21
May 5,CHC,Drew Smyly,2.83,3.43
May 5,SEA,Logan Gilbert,4.01,3.08
May 5,TBR,Drew Rasmussen,3.66,2.91
May 5,TOR,Jose Berrios,5.29,3.14
May 5,CHC,Justin Steele,1.49,3.31
May 5,CHW,Lucas Giolito,3.67,3.81
May 5,CHC,Marcus Stroman,2.18,3.62
May 5,SFG,Alex Cobb,2.43,2.92
May 5,SEA,Matt Brash,4.3,0.9
May 5,SFG,Anthony DeSclafani,2.13,3.31
May 5,PHI,Aaron Nola,4.64,3.96
May 5,CIN,Alexis Diaz,2.7,0.28
May 5,MIL,Wade Miley,2.31,3.43
May 5,COL,Ryan Feltner,4.45,3.65
May 5,MIL,Freddy Peralta,3.63,3.54
May 5,PHI,Jose Alvarado,0.68,0.66
May 5,ATL,Max Fried,0.45,2.08
May 5,TBR,Zach Eflin,2.25,2.89
May 5,TBR,Jeffrey Springs,0.56,1.85
May 5,SDP,Josh Hader,0.64,1.78
May 5,NYM,David Robertson,0.68,1.48
May 5,PIT,Roansy Contreras,4.09,3.59
May 5,ATL,Bryce Elder,1.75,3.51
May 5,WSN,MacKenzie Gore,3.77,3.77
May 5,HOU,Luis Garcia,4.0,3.65
May 5,CLE,Shane Bieber,2.96,3.96
May 5,LAD,Dustin May,3.15,3.72
May 5,MIA,Jesus Luzardo,3.66,3.89
May 5,SDP,Seth Lugo,3.21,3.88
May 5,LAA,Carlos Estevez,1.15,1.88
May 5,HOU,Cristian Javier,3.48,3.85
May 5,MIA,Huascar Brazoban,2.37,2.34
May 5,SFG,Logan Webb,3.8,4.0
May 5,PIT,Vince Velasquez,3.06,4.02
May 5,TBR,Taj Bradley,3.52,2.57
May 5,CHC,Jameson Taillon,5.29,2.4
May 5,SDP,Yu Darvish,3.6,3.82
May 5,ATL,Nick Anderson,3.29,1.82
May 5,BAL,Bryan Baker,1.72,2.2
May 5,LAD,Julio Urias,3.86,4.32
May 5,MIN,Griffin Jax,3.86,2.0
May 5,WSN,Josiah Gray,2.67,4.32
May 5,WSN,Trevor Williams,3.41,4.36
May 5,OAK,Mason Miller,3.52,2.44
May 5,PIT,Johan Oviedo,4.78,3.75
May 5,ARI,Merrill Kelly,3.06,4.09
May 5,BAL,Felix Bautista,1.84,2.19
May 5,SEA,Trevor Gott,2.3,2.2
May 5,CLE,Eli Morgan,0.64,1.78
May 5,KCR,Aroldis Chapman,3.09,1.57
May 5,SEA,Paul Sewald,2.65,2.93
May 5,CHW,Dylan Cease,4.58,4.27
May 5,NYY,Michael King,1.56,2.02
May 5,KCR,Kris Bubic,3.94,2.66
May 5,WSN,Patrick Corbin,5.17,4.61
May 5,CLE,Tanner Bibee,2.45,2.38
May 5,BOS,Kenley Jansen,1.04,1.21
May 5,DET,Alex Lange,1.23,2.06
May 5,SDP,Michael Wacha,5.46,4.24
May 5,MIL,Devin Williams,0.0,1.25
May 5,BAL,Danny Coulombe,2.38,1.78
May 5,MIA,Sandy Alcantara,5.09,4.19
May 5,WSN,Mason Thompson,2.18,3.04
May 5,TEX,Martin Perez,2.41,4.09
May 5,MIL,Corbin Burnes,4.01,4.09
May 5,COL,Jake Bird,3.27,2.97
May 5,TBR,Kevin Kelly,3.71,2.7
May 5,LAA,Patrick Sandoval,2.93,4.13
May 5,LAA,Andrew Wantz,0.79,2.49
May 5,TOR,Tim Mayza,0.87,1.54
May 5,BAL,Kyle Gibson,4.61,4.43
May 5,SEA,Bryce Miller,1.5,-0.05
May 5,WSN,Hunter Harvey,2.45,3.08
May 5,COL,Kyle Freeland,3.76,4.93
May 5,ATL,Charlie Morton,3.38,4.03
May 5,CLE,Aaron Civale,2.84,2.49
May 5,COL,Brad Hand,3.86,2.17
May 5,LAA,Matt Moore,1.1,2.49
May 5,MIN,Bailey Ober,1.59,2.84
May 5,NYY,Ian Hamilton,1.56,2.07
May 5,ARI,Andrew Chafin,2.31,2.43
May 5,LAD,Brusdar Graterol,2.77,2.05
May 5,NYY,Nestor Cortes,4.91,4.62
May 5,ATL,A.J. Minter,7.47,3.09
May 5,SDP,Ryan Weathers,2.5,3.78
May 5,SDP,Nick Martinez,3.41,4.52
May 5,SEA,Justin Topa,1.38,2.44
May 5,SEA,Gabe Speier,0.0,2.07
May 5,BOS,Josh Winckowski,1.61,3.15
May 5,CLE,Hunter Gaddis,6.86,3.84
May 5,CHC,Adbert Alzolay,3.07,2.33
May 5,LAD,Caleb Ferguson,1.46,2.72
May 5,CLE,Logan Allen,2.45,2.38
May 5,BOS,Tanner Houck,5.34,4.32
May 5,MIN,Tyler Mahle,3.16,4.22
May 5,COL,Brent Suter,0.98,3.12
May 5,DET,Jason Foley,1.32,2.55
May 5,PHI,Bailey Falter,5.01,4.99
May 5,BOS,Chris Sale,6.75,4.55
May 5,MIL,Brandon Woodruff,0.79,3.11
May 5,LAD,Phil Bickford,3.95,2.55
May 5,BAL,Grayson Rodriguez,5.46,4.25
May 5,MIL,Peter Strzelecki,4.2,2.75
May 5,TOR,Jordan Romano,3.65,2.96
May 5,CIN,Ian Gibaut,3.0,3.12
May 5,LAA,Reid Detmers,4.85,4.4
May 5,TBR,Josh Fleming,3.18,3.24
May 5,NYY,Ron Marinaccio,1.93,3.07
May 5,CHW,Gregory Santos,1.62,2.5
May 5,MIN,Emilio Pagan,5.11,2.07
May 5,ARI,Miguel Castro,2.13,2.89
May 5,PIT,Colin Holderman,3.21,2.93
May 5,LAA,Tucker Davidson,2.25,2.41
May 5,STL,Ryan Helsley,3.97,3.11
May 5,CHC,Mark Leiter Jr.,1.38,2.75
May 5,CLE,Cal Quantrill,4.73,4.68
May 5,TBR,Yonny Chirinos,0.64,2.78
May 5,SFG,John Brebbia,5.84,2.39
May 5,SDP,Luis Garcia,6.59,3.06
May 5,NYY,Jhony Brito,5.56,4.39
May 5,MIA,Dylan Floro,1.98,2.99
May 5,SEA,Marco Gonzales,4.74,4.3
May 5,LAD,Noah Syndergaard,6.32,4.69
May 5,COL,Justin Lawrence,1.65,3.35
May 5,CIN,Alex Young,2.57,3.07
May 5,NYY,Domingo German,4.46,4.62
May 5,NYM,Jimmy Yacabonis,4.15,2.48
May 5,COL,Noah Davis,6.17,3.88
May 5,MIL,Bryse Wilson,2.16,3.16
May 5,OAK,Zach Jackson,2.57,3.5
May 5,BOS,John Schreiber,2.3,3.09
May 5,STL,Chris Stratton,3.44,2.58
May 5,CHW,Keynan Middleton,2.89,2.32
May 5,HOU,Phil Maton,1.13,2.72
May 5,STL,Drew VerHagen,4.2,3.08
May 5,NYM,Drew Smith,2.25,3.12
May 5,TEX,Dane Dunning,1.77,3.24
May 5,MIA,Trevor Rogers,4.0,4.12
May 5,STL,Miles Mikolas,5.79,4.86
May 5,PIT,Duane Underwood Jr.,2.3,2.97
May 5,CIN,Fernando Cruz,6.59,3.06
May 5,SFG,Camilo Doval,2.77,3.28
May 5,CHC,Brandon Hughes,3.18,1.17
May 5,CLE,Zach Plesac,7.59,4.5
May 5,COL,German Marquez,4.95,4.63
May 5,TEX,Will Smith,1.69,3.38
May 5,LAA,Griffin Canning,5.31,4.76
May 5,WSN,Erasmo Ramirez,5.4,3.13
May 5,TEX,Cole Ragans,5.91,2.91
May 5,LAA,Jose Quijada,6.0,3.17
May 5,ARI,Kyle Nelson,1.54,2.94
May 5,TEX,Jonathan Hernandez,3.0,3.28
May 5,ATL,Jesse Chavez,3.0,3.37
May 5,CIN,Nick Lodolo,6.16,5.08
May 5,CIN,Lucas Sims,0.0,2.38
May 5,PHI,Connor Brogdon,2.25,3.66
May 5,HOU,Bryan Abreu,1.17,3.41
May 5,DET,Will Vest,0.0,0.86
May 5,BAL,Keegan Akin,6.75,3.03
May 5,ATL,Michael Tonkin,2.12,3.7
May 5,HOU,Ryan Pressly,3.65,3.2
May 5,MIN,Caleb Thielbar,1.8,3.18
May 5,NYY,Jimmy Cordero,2.38,2.67
May 5,SEA,Easton McGee,0.0,3.13
May 5,MIA,Bryan Hoeing,6.23,3.28
May 5,KCR,Brad Keller,3.56,4.7
May 5,OAK,JP Sears,5.06,5.03
May 5,SFG,Alex Wood,1.8,3.48
May 5,TOR,Erik Swanson,1.72,3.54
May 5,DET,Matthew Boyd,5.47,4.95
May 5,CHW,Aaron Bummer,8.18,3.38
May 5,NYY,Clay Holmes,6.3,2.98
May 5,ARI,Ryne Nelson,6.39,5.03
May 5,BOS,Brennan Bernardino,0.0,2.28
May 5,CIN,Buck Farmer,3.77,4.26
May 5,MIA,JT Chargois,0.0,1.44
May 5,BAL,Tyler Wells,3.34,4.94
May 5,PHI,Luis Ortiz,3.12,1.9
May 5,MIN,Jorge Lopez,1.29,3.64
May 5,PHI,Cristopher Sanchez,6.23,2.36
May 5,LAD,Alex Vesia,7.84,3.38
May 5,WSN,Andres Machado,0.0,1.65
May 5,HOU,Hector Neris,2.08,3.9
May 5,LAA,Chris Devenski,0.0,2.36
May 5,CLE,Emmanuel Clase,2.2,3.71
May 5,BOS,Kutter Crawford,3.51,4.3
May 5,CLE,Xzavion Curry,2.5,3.34
May 5,TBR,Jason Adam,1.46,3.45
May 5,LAD,Justin Bruihl,1.8,2.28
May 5,STL,Genesis Cabrera,2.31,3.03
May 5,LAD,Michael Grove,8.44,4.66
May 5,ATL,Dylan Lee,3.14,3.56
May 5,CHC,Michael Rucker,3.18,3.28
May 5,TEX,Brock Burke,2.03,3.58
May 5,ATL,Kyle Wright,5.79,4.46
May 5,PHI,Gregory Soto,5.4,3.73
May 5,BAL,Mike Baumann,2.76,3.84
May 5,CLE,Enyel De Los Santos,1.74,3.28
May 5,LAD,Shelby Miller,1.32,3.65
May 5,KCR,Zack Greinke,5.25,4.92
May 5,MIN,Kenta Maeda,9.0,4.53
May 5,CHW,Lance Lynn,7.16,5.37
May 5,HOU,Rafael Montero,2.77,3.44
May 5,CIN,Luis Cessa,9.36,5.52
May 5,LAD,Victor Gonzalez,0.0,1.87
May 5,KCR,Brady Singer,8.49,4.97
May 5,MIA,Braxton Garrett,5.81,4.77
May 5,MIA,A.J. Puk,2.13,4.07
May 5,NYY,Clarke Schmidt,5.83,5.06
May 5,STL,Zack Thompson,4.63,3.63
May 5,LAA,Jaime Barria,2.76,4.08
May 5,KCR,Josh Staumont,2.25,2.53
May 5,MIL,Joel Payamps,3.14,4.26
May 5,TEX,Josh Sborz,3.72,3.08
May 5,PIT,Jose Hernandez,1.98,3.58
May 5,TOR,Nate Pearson,0.0,1.67
May 5,PHI,Seranthony Dominguez,5.54,4.21
May 5,TEX,Ian Kennedy,7.27,3.28
May 5,DET,Michael Lorenzen,5.14,4.76
May 5,CHC,Michael Fulmer,6.57,4.01
May 5,SFG,Tyler Rogers,2.93,3.94
May 5,COL,Pierce Johnson,5.11,4.42
May 5,SEA,Andres Munoz,0.0,2.38
May 5,LAA,Aaron Loup,7.0,3.84
May 5,OAK,Sammy Long,6.75,2.91
May 5,BAL,Cionel Perez,5.25,3.87
May 5,TBR,Braden Bristo,0.0,1.62
