,B/T
382,37.5%
383,W
384,4
385,2
386,Rony García
387,Dylan Bundy
388,"May 26, 20225/26"
389,vs
390,CLE
391,56.6%
392,W
393,4
394,3
395,Tarik Skubal
396,Konnor Pilkington
397,"May 28, 20225/28"
398,vs
399,CLE
400,40.0%
401,L
402,1
403,8
404,Alex Faedo
405,Shane Bieber
406,"May 29, 20225/29"
407,vs
408,CLE
409,41.6%
410,W
411,2
412,1
413,Elvin Rodriguez
414,Triston McKenzie
415,"May 30, 20225/30"
416,vs
417,MIN
418,46.9%
419,W
420,7
421,5
422,Beau Brieske
423,Dylan Bundy
424,"May 31, 20225/31"
425,vs
426,MIN
427,45.8%
428,L
429,2
430,8
431,Rony García
432,Devin Smeltzer
433,"May 31, 20225/31"
434,vs
435,MIN
436,45.0%
437,W
438,4
439,0
440,Joey Wentz
441,Cole Sands
442,"Jun 1, 20226/1"
443,vs
444,MIN
445,60.6%
446,W
447,5
448,0
449,Tarik Skubal
450,Bailey Ober
451,"Jun 2, 20226/2"
452,vs
453,MIN
454,49.5%
455,W
456,3
457,2
458,Alex Faedo
459,Chris Archer
460,"Jun 3, 20226/3"
461,at
462,NYY
463,23.5%
464,L
465,0
466,13
467,Elvin Rodriguez
468,Gerrit Cole
469,"Jun 4, 20226/4"
470,at
471,NYY
472,27.3%
473,L
474,0
475,3
476,Beau Brieske
477,Luis Severino
478,"Jun 5, 20226/5"
479,at
480,NYY
481,31.5%
482,L
483,4
484,5
485,Rony García
486,Jordan Montgomery
487,"Jun 7, 20226/7"
488,at
489,PIT
490,44.9%
491,W
492,5
493,3
494,Tarik Skubal
495,José Quintana
496,"Jun 8, 20226/8"
497,at
498,PIT
499,44.7%
500,W
501,3
502,1
503,Alex Faedo
504,Mitch Keller
505,"Jun 10, 20226/10"
506,vs
507,TOR
508,34.5%
509,L
510,1
511,10
512,Elvin Rodriguez
513,José Berríos
514,"Jun 11, 20226/11"
515,vs
516,TOR
517,34.1%
518,W
519,3
520,1
521,Beau Brieske
522,Kevin Gausman
523,"Jun 12, 20226/12"
524,vs
525,TOR
526,49.6%
527,L
528,0
529,6
530,Tarik Skubal
531,Ross Stripling
532,"Jun 13, 20226/13"
533,vs
534,CHW
535,42.5%
536,L
537,5
538,9
539,Rony García
540,Lance Lynn
541,"Jun 14, 20226/14"
542,vs
543,CHW
544,40.5%
545,L
546,1
547,5
548,Drew Hutchison
549,Dylan Cease
550,"Jun 15, 20226/15"
551,vs
552,CHW
553,52.1%
554,L
555,0
556,13
557,Alex Faedo
558,Vince Velasquez
559,"Jun 16, 20226/16"
560,vs
561,TEX
562,47.6%
563,L
564,1
565,3
566,Beau Brieske
567,Martín Pérez
568,"Jun 17, 20226/17"
569,vs
570,TEX
571,54.6%
572,L
573,0
574,7
575,Tarik Skubal
576,Jon Gray
577,"Jun 18, 20226/18"
578,vs
579,TEX
580,50.4%
581,W
582,14
583,7
584,Rony García
585,Taylor Hearn
586,"Jun 19, 20226/19"
587,vs
588,TEX
589,47.3%
590,W
591,7
592,3
593,Drew Hutchison
594,Dane Dunning
595,"Jun 20, 20226/20"
596,at
597,BOS
598,40.7%
599,L
600,2
601,5
602,Alex Faedo
603,Josh Winckowski
604,"Jun 21, 20226/21"
605,at
606,BOS
607,38.1%
608,L
609,4
610,5
611,Beau Brieske
612,Rich Hill
613,"Jun 22, 20226/22"
614,at
615,BOS
616,48.7%
617,L
618,2
619,6
620,Tarik Skubal
621,Michael Wacha
622,"Jun 24, 20226/24"
623,at
624,ARI
625,41.6%
626,W
627,5
628,1
629,Rony García
630,Merrill Kelly
631,"Jun 25, 20226/25"
632,at
633,ARI
634,45.2%
635,W
636,6
637,3
638,Alex Faedo
639,Zach Davies
640,"Jun 26, 20226/26"
641,at
642,ARI
643,44.5%
644,L
645,7
646,11
647,Beau Brieske
648,Dallas Keuchel
649,"Jun 28, 20226/28"
650,at
651,SFG
652,36.2%
653,L
654,3
655,4
656,Tarik Skubal
657,Carlos Rodón
658,"Jun 29, 20226/29"
659,at
660,SFG
661,33.7%
662,W
663,3
664,2
665,Rony García
666,Alex Wood
667,"Jul 1, 20227/1"
668,vs
669,KCR
670,50.5%
671,L
672,1
673,3
674,Michael Pineda
675,Brad Keller
676,"Jul 2, 20227/2"
677,vs
678,KCR
679,49.1%
680,W
681,4
682,3
683,Beau Brieske
684,Kris Bubic
685,"Jul 3, 20227/3"
686,vs
687,KCR
688,55.6%
689,L
690,4
691,7
692,Tarik Skubal
693,Brady Singer
694,"Jul 4, 20227/4"
695,vs
696,CLE
697,54.1%
698,W
699,4
700,1
701,Garrett Hill
702,Zach Plesac
703,"Jul 4, 20227/4"
704,vs
705,CLE
706,49.7%
707,W
708,5
709,3
710,Alex Faedo
711,Konnor Pilkington
712,"Jul 5, 20227/5"
713,vs
714,CLE
715,55.2%
716,W
717,11
718,4
719,Drew Hutchison
720,Cal Quantrill
721,"Jul 6, 20227/6"
722,vs
723,CLE
724,44.2%
725,W
726,8
727,2
728,Michael Pineda
729,Shane Bieber
730,"Jul 7, 20227/7"
731,at
732,CHW
733,31.1%
734,W
735,2
736,1
737,Beau Brieske
738,Dylan Cease
739,"Jul 8, 20227/8"
740,at
741,CHW
742,42.3%
743,W
744,7
745,5
746,Tarik Skubal
747,Lucas Giolito
748,"Jul 9, 20227/9"
749,at
750,CHW
751,42.7%
752,L
753,0
754,8
755,Garrett Hill
756,Johnny Cueto
757,"Jul 10, 20227/10"
758,at
759,CHW
760,36.7%
761,L
762,2
763,4
764,Drew Hutchison
765,Michael Kopech
766,"Jul 11, 20227/11"
767,at
768,KCR
769,43.6%
770,L
771,1
772,3
773,Michael Pineda
774,Brad Keller
775,"Jul 11, 20227/11"
776,at
777,KCR
778,43.5%
779,L
780,3
781,7
782,Alex Faedo
783,Daniel Lynch
784,"Jul 12, 20227/12"
785,at
786,KCR
787,42.8%
788,W
789,7
790,5
791,Beau Brieske
792,Kris Bubic
793,"Jul 13, 20227/13"
794,at
795,KCR
796,47.0%
797,L
798,2
799,5
800,Tarik Skubal
801,Brady Singer
802,"Jul 14, 20227/14"
803,at
804,CLE
805,36.0%
806,L
807,0
808,4
809,Elvin Rodriguez
810,Triston McKenzie
811,"Jul 15, 20227/15"
812,at
813,CLE
814,40.0%
815,L
816,5
817,6
818,Drew Hutchison
819,Zach Plesac
820,"Jul 16, 20227/16"
821,at
822,CLE
823,42.8%
824,L
825,0
826,10
827,Michael Pineda
828,Cal Quantrill
829,"Jul 21, 20227/21"
830,at
831,OAK
832,54.9%
833,W
834,7
835,2
